row_type,platform,week_number,week_label,week_folder,user_number,user_label,captured_at_utc,capture_date,playlist_name,playlist_id,playlist_url,playlist_position,video_id,track_id,track_name,artist_name,artist_ids,artist_names,album_name,duration_seconds,duration_display,popularity_metric,popularity_metric_scope,youtube_url,youtube_music_url,view_count,view_count_source,view_rank_within_playlist_desc,view_percentile_within_playlist,youtube_artist_subscribers_approx,youtube_artist_subscribers_display,youtube_artist_channel_views,video_type,is_explicit_track,popularity_video_version_note,source_original_pool_percentile,source_original_pool_tier,exact_final_playlist_track_repeat,source_file,source_file_row,popularity_value,popularity_display,popularity_log10,popularity_available,final_playlist_percentile_30,final_playlist_tier_30,above_final_playlist_median,above_final_playlist_top_third_cutoff,above_final_playlist_max,original_candidate_pool_percentile_83,original_candidate_pool_rank_tier_83,popularity_log10_plus1,original_candidate_pool_reference_size,popularity_measurement_at_utc,metadata_repaired_at_utc
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,1,zip1C800tdU,zip1C800tdU,Combat Metal,Fireforce,,Fireforce,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=zip1C800tdU,,23220.0,,,,,,,,,,42.77,Middle,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,2,23220.0,"23,220 views",4.365862,True,36.6667,Middle,False,False,False,42.771084,Middle,4.365881,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,2,BHfVbP9rjnE,BHfVbP9rjnE,Starbreaker,Traveler,,Traveler,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=BHfVbP9rjnE,,31916.0,,,,,,,,,,46.39,Middle,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,3,31916.0,"31,916 views",4.504008,True,43.3333,Middle,False,False,False,46.385542,Middle,4.504022,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,3,mbrjS9BqzGw,mbrjS9BqzGw,Messager - 2021,Sortilège,,Sortilège,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=mbrjS9BqzGw,,4487.0,,,,,,,,,,21.08,Low,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,4,4487.0,"4,487 views",3.651956,True,30.0,Low,False,False,False,21.084337,Low,3.652053,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,4,qmnQfohX2vc,qmnQfohX2vc,World on Fire,Firewind,,Firewind,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=qmnQfohX2vc,,7505.0,,,,,,,,,,24.7,Low,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,5,7505.0,"7,505 views",3.875351,True,33.3333,Low,False,False,False,24.698795,Low,3.875409,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,5,MuAMjthSJm0,MuAMjthSJm0,Rome Is Falling,Civil War,,Civil War,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=MuAMjthSJm0,,1392219.0,,,,,,,,,,77.71,High,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,6,1392219.0,"1,392,219 views",6.143708,True,73.3333,High,True,True,False,77.710843,High,6.143708,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,6,Smk-Vsb9AOk,Smk-Vsb9AOk,Geçmişin Yükü,Pentagram,,Pentagram,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=Smk-Vsb9AOk,,1223810.0,,,,,,,,,,75.3,High,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,7,1223810.0,"1,223,810 views",6.087714,True,70.0,High,True,True,False,75.301205,High,6.087714,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,7,BESgqzL8ijE,BESgqzL8ijE,Skyfall,Helloween,,Helloween,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=BESgqzL8ijE,,173407.0,,,,,,,,,,59.64,Middle,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,8,173407.0,"173,407 views",5.239067,True,63.3333,Middle,True,False,False,59.638554,Middle,5.239069,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,8,zJ8FuN2OXHI,zJ8FuN2OXHI,Thunderbolt,Saxon,,Saxon,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=zJ8FuN2OXHI,,65843.0,,,,,,,,,,52.41,Middle,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,9,65843.0,"65,843 views",4.81851,True,53.3333,Middle,True,False,False,52.409639,Middle,4.818516,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,9,TeIgtmGKtzY,TeIgtmGKtzY,Disciples of the Sun,Pyramaze,,Pyramaze,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=TeIgtmGKtzY,,64555.0,,,,,,,,,,51.2,Middle,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,10,64555.0,"64,555 views",4.80993,True,50.0,Middle,False,False,False,51.204819,Middle,4.809937,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,10,KNNgWU4kXp8,KNNgWU4kXp8,If It Bleeds We Can Kill It,Dragony,,Dragony,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=KNNgWU4kXp8,,49427.0,,,,,,,,,,50.0,Middle,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,11,49427.0,"49,427 views",4.693964,True,46.6667,Middle,False,False,False,50.0,Middle,4.693973,83,,
