source_type,playlist_kind,week_folder,week_number,platform,user_folder,user_number,playlist_name,track_count,tracks_with_popularity,min_popularity_value,median_popularity_value,mean_popularity_value,max_popularity_value,median_log10_popularity,mean_log10_popularity,median_log10_delta_vs_final_balanced,mean_log10_delta_vs_final_balanced,median_ratio_vs_final_balanced,median_baseline_empirical_percentile,mean_baseline_empirical_percentile,share_above_final_balanced_median,share_top_third_vs_final_balanced,share_above_final_balanced_max
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,final_balanced_playlist,30,30,297.0,30091.0,1672852.7666666666,32848505.0,4.478139338658135,4.639865087095871,0.0,0.16172574843773557,1.0,50.0,49.99999999999999,0.5,0.3333333333333333,0.0
recommended,weekly_recommendation,Week1_21July,1,Spotify,User1,1,Week1-User1,30,30,25447.0,206446.0,432603.86666666664,3115408.0,5.313981196800984,5.345412383093849,0.8358418581428486,0.8672730444357145,6.860722475158685,65.0,64.77777777777779,0.9333333333333333,0.26666666666666666,0.0
recommended,weekly_recommendation,Week1_21July,1,Spotify,User2,2,Week1-User2,30,30,25447.0,189283.5,425583.8333333333,3115408.0,5.276992840838766,5.315358029512756,0.7988535021806302,0.8372186908546196,6.290369213386063,63.333333333333336,64.33333333333334,0.9333333333333333,0.26666666666666666,0.0
recommended,weekly_recommendation,Week1_21July,1,Spotify,User3,3,Week1-User3,30,30,25447.0,169119.5,399172.1,3115408.0,5.228173747823951,5.25296766773871,0.7500344091658162,0.774828329080575,5.620268518826227,63.333333333333336,63.55555555555556,0.9,0.23333333333333334,0.0
recommended,weekly_recommendation,Week1_21July,1,Spotify,User4,4,Week1-User4,30,30,24507.0,177788.0,379994.6,3115408.0,5.249560919275714,5.271832141216947,0.771421580617579,0.7936928025588119,5.908344687780399,63.333333333333336,63.0,0.9,0.23333333333333334,0.0
recommended,weekly_recommendation,Week1_21July,1,Spotify,User5,5,Week 1-User5,30,30,25447.0,206446.0,452436.63333333336,3115408.0,5.313981196800984,5.3453460281174054,0.8358418581428486,0.8672066894592698,6.860722475158685,65.0,64.88888888888889,0.9333333333333333,0.26666666666666666,0.0
recommended,weekly_recommendation,Week1_21July,1,Spotify,User6,6,Week1-User6 ,30,30,25447.0,189283.5,410287.8,3115408.0,5.276992840838766,5.308410203289638,0.7988535021806302,0.8302708646315009,6.290369213386063,63.333333333333336,63.777777777777786,0.9,0.3,0.0
recommended,weekly_recommendation,Week1_21July,1,Spotify,User7,7,Week 1-User7,30,30,25447.0,169119.5,438360.4666666667,3115408.0,5.228173747823951,5.288757235887316,0.7500344091658162,0.8106178972291808,5.620268518826227,63.333333333333336,64.11111111111111,0.9333333333333333,0.23333333333333334,0.0
recommended,weekly_recommendation,Week1_21July,1,Spotify,User8,8,Week1-User8,30,30,25447.0,188573.0,409127.56666666665,3115408.0,5.275394214666743,5.312926927195639,0.7972548760086089,0.8347875885375043,6.266757502243196,63.333333333333336,64.44444444444444,0.9666666666666667,0.23333333333333334,0.0
recommended,weekly_recommendation,Week1_21July,1,Spotify,User9,9,Week1-User9,30,30,25447.0,229441.0,404077.1,3115408.0,5.36023467704242,5.3370688457906255,0.8820953383842847,0.8589295071324894,7.624904456482005,66.66666666666667,64.33333333333334,0.9333333333333333,0.23333333333333334,0.0
recommended,weekly_recommendation,Week2_28July,2,Spotify,User1,1,Week2_User1,30,30,10317.0,167981.5,292254.7,1132677.0,5.225257646414824,5.157914565733167,0.747118307756689,0.6797752270750326,5.582449901964042,63.333333333333336,60.22222222222221,0.8333333333333334,0.2,0.0
recommended,weekly_recommendation,Week2_28July,2,Spotify,User2,2,Week2_User2,30,30,10317.0,180062.0,356995.36666666664,1431600.0,5.2545534412545525,5.259648490719394,0.7764141025964175,0.7815091520612589,5.983915456448772,63.333333333333336,62.55555555555555,0.9,0.26666666666666666,0.0
recommended,weekly_recommendation,Week2_28July,2,Spotify,User3,3,Week2_User3,30,30,10317.0,127311.0,257575.36666666667,1132677.0,5.104484702215803,5.10201431871285,0.6263453635576677,0.623874980054716,4.230866372004918,63.333333333333336,59.11111111111112,0.8,0.16666666666666666,0.0
recommended,weekly_recommendation,Week2_28July,2,Spotify,User4,4,Week2_User4,30,30,10317.0,191631.5,423640.5333333333,1778853.0,5.282466679942631,5.332849939050851,0.8043273412844969,0.8547106003927164,6.3683991891263165,63.333333333333336,64.44444444444444,0.9333333333333333,0.3333333333333333,0.0
recommended,weekly_recommendation,Week2_28July,2,Spotify,User5,5,Week2-User5,30,30,22697.0,253757.5,559094.0,4119511.0,5.4039491888550835,5.371790414950003,0.9258098501969481,0.8936510762918677,8.433003223555216,66.66666666666667,65.0,0.9333333333333333,0.26666666666666666,0.0
recommended,weekly_recommendation,Week2_28July,2,Spotify,User6,6,Week2_User6,30,30,14038.0,268336.5,396512.3,1265927.0,5.428656383957531,5.34124236596566,0.9505170452993954,0.8631030273075254,8.917500249243961,66.66666666666667,63.777777777777786,0.9333333333333333,0.26666666666666666,0.0
