platform,week_number,user_number,song_count,median_popularity,median_log10_delta_vs_balanced,median_balanced_percentile,share_above_balanced_median,share_high_tier
Spotify,3,1,30,197739.0,0.8148167534326878,65.0,0.8333333333333334,0.4666666666666667
Spotify,3,2,30,205105.0,0.8323484848262996,65.0,0.8666666666666667,0.4666666666666667
Spotify,3,3,30,190769.5,0.8006216520339078,65.0,0.8666666666666667,0.43333333333333335
Spotify,3,4,30,157314.5,0.7175074538739405,63.3333,0.8333333333333334,0.43333333333333335
Spotify,3,5,30,167811.0,0.7463787329389064,63.3333,0.8666666666666667,0.36666666666666664
Spotify,3,6,30,104536.5,0.5408126950649215,60.0,0.7,0.3
Spotify,3,7,30,157314.5,0.7175074538739405,63.3333,0.8666666666666667,0.4
Spotify,3,8,30,157314.5,0.7175074538739405,63.3333,0.8,0.36666666666666664
Spotify,3,9,30,150401.0,0.696152917430148,63.3333,0.8333333333333334,0.4
Spotify,3,10,30,65817.0,0.33978423985330064,56.6667,0.6666666666666666,0.23333333333333334
Spotify,4,1,30,144579.5,0.6766369748838277,63.3333,0.7,0.4
Spotify,4,2,30,115640.5,0.5838637294172075,63.3333,0.6666666666666666,0.36666666666666664
Spotify,4,3,30,115640.5,0.5838637294172075,63.3333,0.7,0.36666666666666664
Spotify,4,4,30,66188.0,0.3342895593468853,58.333349999999996,0.6,0.2
Spotify,4,5,30,105528.5,0.5447507841626504,61.666650000000004,0.7333333333333333,0.3333333333333333
Spotify,4,6,30,115640.5,0.5838637294172075,63.3333,0.7333333333333333,0.36666666666666664
Spotify,4,7,30,144579.5,0.6766369748838277,63.3333,0.7333333333333333,0.36666666666666664
Spotify,4,8,30,115640.5,0.5838637294172075,63.3333,0.7333333333333333,0.36666666666666664
Spotify,4,9,30,267868.5,0.9482224952100977,66.6667,0.8,0.4666666666666667
Spotify,4,10,30,144579.5,0.6766369748838277,63.3333,0.7666666666666667,0.3333333333333333
Spotify,5,1,30,93579.5,0.49085581815178125,60.0,0.8,0.23333333333333334
Spotify,5,2,30,77084.0,0.4062996807105943,60.0,0.7333333333333333,0.23333333333333334
Spotify,5,3,30,243528.5,0.9081113090802337,66.6667,0.9333333333333333,0.4666666666666667
Spotify,5,4,30,208476.0,0.8395721096947026,65.0,0.8333333333333334,0.4
Spotify,5,5,30,390878.0,1.1134718861100428,66.6667,0.8666666666666667,0.5333333333333333
Spotify,5,6,30,243528.5,0.9081113090802337,66.6667,0.8666666666666667,0.4666666666666667
Spotify,5,7,30,59563.5,0.284780612375235,58.333349999999996,0.7333333333333333,0.3
Spotify,5,8,30,243528.5,0.9081113090802337,66.6667,0.7666666666666667,0.4666666666666667
Spotify,5,9,30,206337.5,0.834731614861187,65.0,0.8333333333333334,0.4666666666666667
Spotify,5,10,30,384564.5,1.1065161064738898,66.6667,0.8333333333333334,0.5333333333333333
Spotify,6,1,30,103008.0,0.5246087492656719,61.666650000000004,0.9333333333333333,0.3333333333333333
Spotify,6,2,30,208029.5,0.836755835622554,65.0,0.8666666666666667,0.4666666666666667
Spotify,6,3,30,176950.0,0.7690752199055435,63.3333,0.8666666666666667,0.4
