source_type,playlist_kind,week_folder,week_number,platform,user_folder,user_number,playlist_file,playlist_name,playlist_id,playlist_url,playlist_position,track_id,track_url,track_name,artist_name,primary_artist_id,album_name,release_date,duration_seconds,explicit,popularity_metric,popularity_value,popularity_display,popularity_log10,selection_tier,baseline_empirical_percentile,baseline_empirical_band,baseline_range_band,baseline_median_value,baseline_median_log10,ratio_vs_baseline_median,log10_delta_vs_baseline_median,style,country,expected_year,secondary_metric,secondary_value,secondary_display,available_country_count,video_or_track_type,captured_at_utc,source_account_or_profile,metadata_error
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,1,6O3eQ6rVO2wOptHkAfWNEL,https://open.spotify.com/track/6O3eQ6rVO2wOptHkAfWNEL,Combat Metal,Fireforce,,,2014,,,spotify_artist_monthly_listeners,1479,1479,3.1699681739968923,Low,21.666666666666668,bottom_third_vs_final_balanced,within_final_balanced_low_range,30091.0,4.478139338658135,0.04915090890964076,-1.3081711646612426,heavy metal,Belgium,2014,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,2,6qCGoSR3V84W2pukqjC9rL,https://open.spotify.com/track/6qCGoSR3V84W2pukqjC9rL,Starbreaker,Traveler,,,2019,,,spotify_artist_monthly_listeners,5241,5241,3.7194141597025934,Low,31.666666666666668,bottom_third_vs_final_balanced,within_final_balanced_low_range,30091.0,4.478139338658135,0.17417167923963975,-0.7587251789555416,heavy metal,Canada,2019,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,3,4tIMFWs6e4BMCsudGF7JQL,https://open.spotify.com/track/4tIMFWs6e4BMCsudGF7JQL,Messager - 2021,Sortilège,,,2021,,,spotify_artist_monthly_listeners,14158,14158,4.151001907992831,Middle,35.0,middle_third_vs_final_balanced,within_final_balanced_middle_range,30091.0,4.478139338658135,0.47050613140141573,-0.3271374306653039,heavy metal,France,2021,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,4,73VDhH8TvIIIeps0RuqXaf,https://open.spotify.com/track/73VDhH8TvIIIeps0RuqXaf,World on Fire,Firewind,,,2010,,,spotify_artist_monthly_listeners,107557,107557,5.031638680297121,Middle,61.666666666666664,middle_third_vs_final_balanced,within_final_balanced_middle_range,30091.0,4.478139338658135,3.574391013924429,0.553499341638986,power metal,Greece,2010,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,5,6oYAAgSsy3A5167QZl6Zb5,https://open.spotify.com/track/6oYAAgSsy3A5167QZl6Zb5,Rome Is Falling,Civil War,,,2012,,,spotify_artist_monthly_listeners,68031,68031,4.832706854780794,Middle,58.333333333333336,middle_third_vs_final_balanced,within_final_balanced_middle_range,30091.0,4.478139338658135,2.2608421122594797,0.3545675161226587,power metal,Sweden,2012,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,6,11DYAaYg2bXqa2Vr8OpS4z,https://open.spotify.com/track/11DYAaYg2bXqa2Vr8OpS4z,Geçmişin Yükü,Pentagram,,,2012,,,spotify_artist_monthly_listeners,198966,198966,5.29877886900294,Middle,65.0,middle_third_vs_final_balanced,within_final_balanced_middle_range,30091.0,4.478139338658135,6.612143165730617,0.8206395303448053,heavy metal,Turkey,2012,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,7,5lsqw3b9RryGa7NrhvdrMi,https://open.spotify.com/track/5lsqw3b9RryGa7NrhvdrMi,Skyfall,Helloween,,,2021,,,spotify_artist_monthly_listeners,1442999,1442999,6.159266030127013,High,81.66666666666667,top_third_vs_final_balanced,within_final_balanced_high_range,30091.0,4.478139338658135,47.954504669170184,1.6811266914688776,power metal,Germany,2021,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,8,0ViETXmkc9BrgimhkqREGr,https://open.spotify.com/track/0ViETXmkc9BrgimhkqREGr,Thunderbolt,Saxon,,,2018,,,spotify_artist_monthly_listeners,472829,472829,5.674704105254199,High,68.33333333333333,top_third_vs_final_balanced,within_final_balanced_high_range,30091.0,4.478139338658135,15.713302980957762,1.1965647665960644,heavy metal,United Kingdom,2018,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,9,15y18CCQL1zxTjZHB4xdJU,https://open.spotify.com/track/15y18CCQL1zxTjZHB4xdJU,Disciples of the Sun,Pyramaze,,,2015,,,spotify_artist_monthly_listeners,31204,31204,4.494210269229327,Middle,51.666666666666664,middle_third_vs_final_balanced,within_final_balanced_middle_range,30091.0,4.478139338658135,1.0369878036622246,0.01607093057119169,power metal,Denmark,2015,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,10,2YQDtovUXJ2zfPldc9mZzy,https://open.spotify.com/track/2YQDtovUXJ2zfPldc9mZzy,If It Bleeds We Can Kill It,Dragony,,,2017,,,spotify_artist_monthly_listeners,31321,31321,4.495835619527313,Middle,55.0,middle_third_vs_final_balanced,within_final_balanced_middle_range,30091.0,4.478139338658135,1.040876009438038,0.017696280869177627,power metal,Austria,2017,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
