snapshot_label,captured_at_utc,platform,source_account_display_name,source_account_id,playlist_name,playlist_id,playlist_url,playlist_position,playlist_added_at,playlist_added_by_id,candidate_id,research_artist,research_title,artist_origin_country_research,expected_release_year_research,genre_style_research,spotify_track_id,spotify_uri,spotify_url,spotify_title,spotify_artists,primary_artist_id,primary_artist_name,primary_artist_url,artist_monthly_listeners,artist_monthly_listeners_source,artist_monthly_listeners_fetch_error,previous_artist_monthly_listeners,previous_listener_capture_utc,monthly_listener_change,monthly_listener_change_fraction,average_monthly_listener_change_per_day,spotify_track_popularity,spotify_artist_popularity,spotify_artist_followers,spotify_track_stream_count,unavailable_popularity_fields_note,album_id,album_name,album_type,album_release_date,album_release_date_precision,album_total_tracks,album_label,album_upc,album_fetch_error,album_copyrights,spotify_isrc,duration_ms,disc_number,track_number,explicit,is_playable,is_local,selection_method,spotify_selected_tier,original_pool_spotify_percentile,original_pool_spotify_rank_tier,original_pool_spotify_log10_popularity,monthly_listeners_rank_within_playlist_desc,monthly_listeners_percentile_within_playlist,monthly_listeners_log10
week1_13july,2026-07-14T10:57:52+00:00,Spotify,Aysima Karçaaltıncaba,aaaaysimaaaa,Heavy Metal MCT,531GNQfZFLGveRbERYYUaw,https://open.spotify.com/playlist/531GNQfZFLGveRbERYYUaw,1,2026-07-03T10:35:53Z,aaaaysimaaaa,M084,Exlibris,Hellphoria,Poland,2013,power metal,4ZCE9a3407wu9FG2i8baFE,spotify:track:4ZCE9a3407wu9FG2i8baFE,https://open.spotify.com/track/4ZCE9a3407wu9FG2i8baFE,Hellphoria,Exlibris,3w8AGJIJV3eAHw6cCZiFjb,Exlibris,https://open.spotify.com/artist/3w8AGJIJV3eAHw6cCZiFjb,752,Spotify public artist page,,742,2026-06-29T19:38:38+00:00,10,0.013477088948787063,0.6831367997254801,,,,,"Spotify Development Mode response does not expose track popularity, artist popularity, followers, or public cumulative track streams; monthly listeners are the study proxy.",5jkge5isy4lLX7TLy0F1XR,Humagination,album,2013,year,12,,5907785037953,,C: 2013 Metal Mind Productions sp. z o.o.; P: 2013 Metal Mind Productions sp. z o.o.,PLA641308724,196746,1,2,False,True,False,rank,Low,10.24,Low,2.870989,25.0,18.333333,2.876217841
week1_13july,2026-07-14T10:57:52+00:00,Spotify,Aysima Karçaaltıncaba,aaaaysimaaaa,Heavy Metal MCT,531GNQfZFLGveRbERYYUaw,https://open.spotify.com/playlist/531GNQfZFLGveRbERYYUaw,2,2026-07-03T10:35:53Z,aaaaysimaaaa,M045,Carthagods,The Devil's Doll,Tunisia,2015,heavy metal,5aI2EF6gFKSdqW1bEHQFcb,spotify:track:5aI2EF6gFKSdqW1bEHQFcb,https://open.spotify.com/track/5aI2EF6gFKSdqW1bEHQFcb,The Devil's Doll,Carthagods,0SdxZAc2eKSnWwhjHEC07W,Carthagods,https://open.spotify.com/artist/0SdxZAc2eKSnWwhjHEC07W,627,Spotify public artist page,,640,2026-06-29T19:38:38+00:00,-13,-0.0203125,-0.8880778396431243,,,,,"Spotify Development Mode response does not expose track popularity, artist popularity, followers, or public cumulative track streams; monthly listeners are the study proxy.",3M4vD72zWBqHT3Sru1XFrq,The Devil's Doll,single,2018-12-20,day,1,,1827849881039,,C: 2018 Darkside Records Tunisia; P: 2018 Darkside Records Tunisia,usl4r1823032,356807,1,1,True,True,False,rank,Low,9.04,Low,2.806858,26.0,15.0,2.797267541
week1_13july,2026-07-14T10:57:52+00:00,Spotify,Aysima Karçaaltıncaba,aaaaysimaaaa,Heavy Metal MCT,531GNQfZFLGveRbERYYUaw,https://open.spotify.com/playlist/531GNQfZFLGveRbERYYUaw,3,2026-07-03T10:35:53Z,aaaaysimaaaa,M074,Skinflint,Flesh Potion,Botswana,2022,heavy metal,5Hx4kJ8V59tGFotZHYW9Vy,spotify:track:5Hx4kJ8V59tGFotZHYW9Vy,https://open.spotify.com/track/5Hx4kJ8V59tGFotZHYW9Vy,Flesh Potion,Skinflint,76MMXRm4VwkwlptuOPeRX1,Skinflint,https://open.spotify.com/artist/76MMXRm4VwkwlptuOPeRX1,339,Spotify public artist page,,385,2026-06-29T19:38:38+00:00,-46,-0.11948051948051948,-3.142429278737209,,,,,"Spotify Development Mode response does not expose track popularity, artist popularity, followers, or public cumulative track streams; monthly listeners are the study proxy.",14rzBMVKOiaBOusZjpH7oi,Adze,single,2022-06-20,day,4,,859771269242,,C: 2022 Skinflint; P: 2022 Skinflint,TCAGX2337229,294234,1,4,False,True,False,rank,Low,5.42,Low,2.586587,28.0,8.333333,2.530199698
week1_13july,2026-07-14T10:57:52+00:00,Spotify,Aysima Karçaaltıncaba,aaaaysimaaaa,Heavy Metal MCT,531GNQfZFLGveRbERYYUaw,https://open.spotify.com/playlist/531GNQfZFLGveRbERYYUaw,4,2026-07-03T10:35:53Z,aaaaysimaaaa,M080,Arrayan Path,Stigmata,Cyprus,2018,power metal,1YpY2YfPHkbXCA1kaccmoF,spotify:track:1YpY2YfPHkbXCA1kaccmoF,https://open.spotify.com/track/1YpY2YfPHkbXCA1kaccmoF,Stigmata,Arrayan Path,4i1kDUJkz1Md0NK9iyLuAD,Arrayan Path,https://open.spotify.com/artist/4i1kDUJkz1Md0NK9iyLuAD,511,Spotify public artist page,,522,2026-06-29T19:38:38+00:00,-11,-0.0210727969348659,-0.7514504796980283,,,,,"Spotify Development Mode response does not expose track popularity, artist popularity, followers, or public cumulative track streams; monthly listeners are the study proxy.",3Rmik3lOB3ohFrBzV93h5T,IV: Stigmata,album,2013-06-10,day,10,,5055489275185,,C: (C) 2013 Pitch Black Records; P: (P) 2013 Pitch Black Records,CYA081302305,387680,1,5,False,True,False,rank,Low,7.83,Low,2.718502,27.0,11.666667,2.7084209
week1_13july,2026-07-14T10:57:52+00:00,Spotify,Aysima Karçaaltıncaba,aaaaysimaaaa,Heavy Metal MCT,531GNQfZFLGveRbERYYUaw,https://open.spotify.com/playlist/531GNQfZFLGveRbERYYUaw,5,2026-07-03T10:35:53Z,aaaaysimaaaa,M081,Eagleheart,Reverse,Czech Republic,2017,power metal,6s5DxrVYsqh50hN2adnj0m,spotify:track:6s5DxrVYsqh50hN2adnj0m,https://open.spotify.com/track/6s5DxrVYsqh50hN2adnj0m,Reverse,Eagleheart,1AJYEp0lejGrqWQsp2bHgW,Eagleheart,https://open.spotify.com/artist/1AJYEp0lejGrqWQsp2bHgW,275,Spotify public artist page,,297,2026-06-29T19:38:38+00:00,-22,-0.07407407407407407,-1.5029009593960565,,,,,"Spotify Development Mode response does not expose track popularity, artist popularity, followers, or public cumulative track streams; monthly listeners are the study proxy.",5A5DznEQtIMjMlNls8gs8j,Reverse,album,2017-08-18,day,12,,191773532642,,C: (C) 2017 Scarlet Records,ITD291701568,375026,1,6,False,True,False,rank,Low,3.01,Low,2.474216,30.0,1.666667,2.439332694
week1_13july,2026-07-14T10:57:52+00:00,Spotify,Aysima Karçaaltıncaba,aaaaysimaaaa,Heavy Metal MCT,531GNQfZFLGveRbERYYUaw,https://open.spotify.com/playlist/531GNQfZFLGveRbERYYUaw,6,2026-07-03T10:35:53Z,aaaaysimaaaa,M065,Attick Demons,City of Golden Gates,Portugal,2016,heavy metal,6BZwg1KPw2Rl0sSzE8yGNc,spotify:track:6BZwg1KPw2Rl0sSzE8yGNc,https://open.spotify.com/track/6BZwg1KPw2Rl0sSzE8yGNc,City of Golden Gates,Attick Demons,5mf3WLEtrRlKH453i2mgXk,Attick Demons,https://open.spotify.com/artist/5mf3WLEtrRlKH453i2mgXk,827,Spotify public artist page,,835,2026-06-29T19:38:38+00:00,-8,-0.009580838323353293,-0.5465094397803841,,,,,"Spotify Development Mode response does not expose track popularity, artist popularity, followers, or public cumulative track streams; monthly listeners are the study proxy.",6oNVfBY1QZfhYEk6TtJs9X,Atlantis,album,2012,year,11,,3616407362770,,C: (C) 2012 Roar; P: (P) 2012 Roar,DEZ902000395,317680,1,3,False,True,False,rank,Low,11.45,Low,2.922206,24.0,21.666667,2.91750551
week1_13july,2026-07-14T10:57:52+00:00,Spotify,Aysima Karçaaltıncaba,aaaaysimaaaa,Heavy Metal MCT,531GNQfZFLGveRbERYYUaw,https://open.spotify.com/playlist/531GNQfZFLGveRbERYYUaw,7,2026-07-03T10:35:53Z,aaaaysimaaaa,M050,LORD,United,Australia,2019,power metal,7yqjpBncd99OTk5EMWGUBT,spotify:track:7yqjpBncd99OTk5EMWGUBT,https://open.spotify.com/track/7yqjpBncd99OTk5EMWGUBT,United,LORD,6mLDXLOEh4fcvxm5ICKfhE,LORD,https://open.spotify.com/artist/6mLDXLOEh4fcvxm5ICKfhE,3104,Spotify public artist page,,3073,2026-06-29T19:38:38+00:00,31,0.010087862024080702,2.1177240791489886,,,,,"Spotify Development Mode response does not expose track popularity, artist popularity, followers, or public cumulative track streams; monthly listeners are the study proxy.",2hYfb3WwkltAqVTdcbVY1Z,United,single,2019-03-01,day,1,,193428773790,,C: 2019 Lord; P: 2019 Lord,AUDI31900001,297670,1,1,False,True,False,rank,Low,16.27,Low,3.487704,21.0,31.666667,3.491921713
week1_13july,2026-07-14T10:57:52+00:00,Spotify,Aysima Karçaaltıncaba,aaaaysimaaaa,Heavy Metal MCT,531GNQfZFLGveRbERYYUaw,https://open.spotify.com/playlist/531GNQfZFLGveRbERYYUaw,8,2026-07-03T10:35:53Z,aaaaysimaaaa,M038,Concerto Moon,Alone in Paradise,Japan,2017,power metal,3Idf8blFXZHb9cDAh5GH69,spotify:track:3Idf8blFXZHb9cDAh5GH69,https://open.spotify.com/track/3Idf8blFXZHb9cDAh5GH69,ALONE IN PARADISE,CONCERTO MOON,06RLyuNu1DPwwvCxLvN476,CONCERTO MOON,https://open.spotify.com/artist/06RLyuNu1DPwwvCxLvN476,2091,Spotify public artist page,,2218,2026-06-29T19:38:38+00:00,-127,-0.05725879170423805,-8.675837356513599,,,,,"Spotify Development Mode response does not expose track popularity, artist popularity, followers, or public cumulative track streams; monthly listeners are the study proxy.",4QyLEMWcAROAMxtA4CNeaf,OUROBOROS,album,2019-06-19,day,12,,4988044046276,,C: 2019 diskunion; P: 2019 diskunion,JPB621900487,279093,1,5,False,True,False,rank,Low,15.06,Low,3.346157,22.0,28.333333,3.320354033
week1_13july,2026-07-14T10:57:52+00:00,Spotify,Aysima Karçaaltıncaba,aaaaysimaaaa,Heavy Metal MCT,531GNQfZFLGveRbERYYUaw,https://open.spotify.com/playlist/531GNQfZFLGveRbERYYUaw,9,2026-07-13T10:39:10Z,aaaaysimaaaa,M076,Emerald,Digital Slavery,Switzerland,2012,heavy metal,4yqFAogywm9DGzQOoiLkil,spotify:track:4yqFAogywm9DGzQOoiLkil,https://open.spotify.com/track/4yqFAogywm9DGzQOoiLkil,Digital Slavery,Emerald,4w0gX7zcZG18e8yqvXoUKL,Emerald,https://open.spotify.com/artist/4w0gX7zcZG18e8yqvXoUKL,316,Spotify public artist page,,316,2026-06-29T19:38:38+00:00,0,0.0,0.0,,,,,"Spotify Development Mode response does not expose track popularity, artist popularity, followers, or public cumulative track streams; monthly listeners are the study proxy.",5UdtltUo6Nr1UjLrsTtIMh,Restless Souls,album,2019-05-17,day,12,,5200123662306,,C: (C) 2019 Roar; P: (P) 2019 Roar,DEZ901900009,232971,1,3,False,True,False,rank,Low,4.22,Low,2.501059,29.0,5.0,2.499687083
week1_13july,2026-07-14T10:57:52+00:00,Spotify,Aysima Karçaaltıncaba,aaaaysimaaaa,Heavy Metal MCT,531GNQfZFLGveRbERYYUaw,https://open.spotify.com/playlist/531GNQfZFLGveRbERYYUaw,10,2026-07-03T10:35:53Z,aaaaysimaaaa,M062,Fireforce,Combat Metal,Belgium,2014,heavy metal,6O3eQ6rVO2wOptHkAfWNEL,spotify:track:6O3eQ6rVO2wOptHkAfWNEL,https://open.spotify.com/track/6O3eQ6rVO2wOptHkAfWNEL,Combat Metal,Fireforce,51hq2WvXCCc1z4ygbN4FFV,Fireforce,https://open.spotify.com/artist/51hq2WvXCCc1z4ygbN4FFV,1482,Spotify public artist page,,1479,2026-06-29T19:38:38+00:00,3,0.002028397565922921,0.20494103991764406,,,,,"Spotify Development Mode response does not expose track popularity, artist popularity, followers, or public cumulative track streams; monthly listeners are the study proxy.",3FGMnhpJqHWypLbg6LcDyE,Deathbringer,album,2014-06-20,day,13,,884860108324,,C: (C) 2014 Limb Music GmbH,DET271214403,259346,1,3,False,True,False,rank,Low,12.65,Low,3.170262,23.0,25.0,3.170848204
