candidate_id,artist,title,country,expected_year,style,spotify_track_id,spotify_url,spotify_isrc,spotify_metric,spotify_metric_value,artist_monthly_listeners,artist_monthly_listeners_captured_at,spotify_percentile,spotify_rank_tier,spotify_log10_popularity,spotify_magnitude_tier,spotify_magnitude_cluster_center,youtube_video_id,youtube_url,view_count,captured_at_utc,youtube_percentile,youtube_rank_tier,youtube_log10_popularity,youtube_magnitude_tier,youtube_magnitude_cluster_center,spotify_selected_tier,youtube_selected_tier,selection_method,selection_note
M084,Exlibris,Hellphoria,Poland,2013,power metal,4ZCE9a3407wu9FG2i8baFE,https://open.spotify.com/track/4ZCE9a3407wu9FG2i8baFE,PLA641308724,artist_monthly_listeners,742,742,2026-06-29T19:38:38+00:00,10.24,Low,2.870989,Low,2.738456,IVSlnryCW7s,https://music.youtube.com/watch?v=IVSlnryCW7s,1423,2026-06-29T19:44:09+00:00,10.24,Low,3.153510,Low,3.044291,Low,Low,magnitude,
M074,Skinflint,Flesh Potion,Botswana,2022,heavy metal,5Hx4kJ8V59tGFotZHYW9Vy,https://open.spotify.com/track/5Hx4kJ8V59tGFotZHYW9Vy,TCAGX2337229,artist_monthly_listeners,385,385,2026-06-29T19:38:38+00:00,5.42,Low,2.586587,Low,2.738456,Lm9xUURZJ6k,https://music.youtube.com/watch?v=Lm9xUURZJ6k,863,2026-06-29T19:44:09+00:00,7.83,Low,2.936514,Low,3.044291,Low,Low,magnitude,
M080,Arrayan Path,Stigmata,Cyprus,2018,power metal,1YpY2YfPHkbXCA1kaccmoF,https://open.spotify.com/track/1YpY2YfPHkbXCA1kaccmoF,CYA081302305,artist_monthly_listeners,522,522,2026-06-29T19:38:38+00:00,7.83,Low,2.718502,Low,2.738456,CxTRjHDxL4w,https://music.youtube.com/watch?v=CxTRjHDxL4w,1955,2026-06-29T19:44:09+00:00,15.06,Low,3.291369,Low,3.044291,Low,Low,magnitude,
M045,Carthagods,The Devil's Doll,Tunisia,2015,heavy metal,5aI2EF6gFKSdqW1bEHQFcb,https://open.spotify.com/track/5aI2EF6gFKSdqW1bEHQFcb,usl4r1823032,artist_monthly_listeners,640,640,2026-06-29T19:38:38+00:00,9.04,Low,2.806858,Low,2.738456,FnGWUPTT9vk,https://music.youtube.com/watch?v=FnGWUPTT9vk,1797,2026-06-29T19:44:09+00:00,13.86,Low,3.254790,Low,3.044291,Low,Low,magnitude,
M081,Eagleheart,Reverse,Czech Republic,2017,power metal,6s5DxrVYsqh50hN2adnj0m,https://open.spotify.com/track/6s5DxrVYsqh50hN2adnj0m,ITD291701568,artist_monthly_listeners,297,297,2026-06-29T19:38:38+00:00,3.01,Low,2.474216,Low,2.738456,U20b7be3zO8,https://music.youtube.com/watch?v=U20b7be3zO8,1241,2026-06-29T19:44:09+00:00,9.04,Low,3.094122,Low,3.044291,Low,Low,magnitude,
M065,Attick Demons,City of Golden Gates,Portugal,2016,heavy metal,6BZwg1KPw2Rl0sSzE8yGNc,https://open.spotify.com/track/6BZwg1KPw2Rl0sSzE8yGNc,DEZ902000395,artist_monthly_listeners,835,835,2026-06-29T19:38:38+00:00,11.45,Low,2.922206,Low,2.738456,DAV2A8R2x1w,https://music.youtube.com/watch?v=DAV2A8R2x1w,2445,2026-06-29T19:44:09+00:00,17.47,Low,3.388456,Low,3.044291,Low,Low,magnitude,
M048,Against Evil,The Sound of Violence,India,2021,heavy metal,6Ehb1g3Qq47TqN4CSHaYUF,https://open.spotify.com/track/6Ehb1g3Qq47TqN4CSHaYUF,uscgh2193288,artist_monthly_listeners,450,450,2026-06-29T19:38:38+00:00,6.63,Low,2.654177,Low,2.738456,QmnHuQ9peZM,https://music.youtube.com/watch?v=QmnHuQ9peZM,4548,2026-06-29T19:44:09+00:00,22.29,Low,3.657916,Low,3.044291,Low,Low,magnitude,
M043,The Silent Rage,The Deadliest Scourge,Greece,2016,power metal,16IMT20oKggrd6x4dPZQN5,https://open.spotify.com/track/16IMT20oKggrd6x4dPZQN5,usx9p2012437,artist_monthly_listeners,105,105,2026-06-29T19:38:38+00:00,0.60,Low,2.025306,Low,2.738456,LixWA9Q7pNQ,https://music.youtube.com/watch?v=LixWA9Q7pNQ,540,2026-06-29T19:44:09+00:00,6.63,Low,2.733197,Low,3.044291,Low,Low,magnitude,
M038,Concerto Moon,Alone in Paradise,Japan,2017,power metal,3Idf8blFXZHb9cDAh5GH69,https://open.spotify.com/track/3Idf8blFXZHb9cDAh5GH69,JPB621900487,artist_monthly_listeners,2218,2218,2026-06-29T19:38:38+00:00,15.06,Low,3.346157,Low,2.738456,IsRd3kIThAo,https://music.youtube.com/watch?v=IsRd3kIThAo,242,2026-06-29T19:44:09+00:00,3.01,Low,2.385606,Low,3.044291,Low,Low,magnitude,
M062,Fireforce,Combat Metal,Belgium,2014,heavy metal,6O3eQ6rVO2wOptHkAfWNEL,https://open.spotify.com/track/6O3eQ6rVO2wOptHkAfWNEL,DET271214403,artist_monthly_listeners,1479,1479,2026-06-29T19:38:38+00:00,12.65,Low,3.170262,Low,2.738456,zip1C800tdU,https://music.youtube.com/watch?v=zip1C800tdU,23220,2026-06-29T19:44:09+00:00,42.77,Middle,4.365881,Middle,4.555245,Low,Middle,magnitude,
M072,Helker,Fight,Argentina,2013,heavy metal,4Qqz7qQIF2IPuAOnS92SKJ,https://open.spotify.com/track/4Qqz7qQIF2IPuAOnS92SKJ,DEU601706780,artist_monthly_listeners,8520,8520,2026-06-29T19:38:38+00:00,30.72,Buffer,3.930491,Middle,4.092167,_tSvA01hUb8,https://music.youtube.com/watch?v=_tSvA01hUb8,1507,2026-06-29T19:44:09+00:00,11.45,Low,3.178401,Low,3.044291,Middle,Low,magnitude,
M049,Kryptos,Full Throttle,India,2019,heavy metal,4AseGgv9fiVNeGC7cSU3u2,https://open.spotify.com/track/4AseGgv9fiVNeGC7cSU3u2,DEU601606525,artist_monthly_listeners,13832,13832,2026-06-29T19:38:38+00:00,39.16,Middle,4.140916,Middle,4.092167,BWIuhbckB_I,https://music.youtube.com/watch?v=BWIuhbckB_I,33414,2026-06-29T19:44:09+00:00,47.59,Middle,4.523941,Middle,4.555245,Middle,Middle,magnitude,
M061,Iron Mask,Tree of the World,Belgium,2020,power metal,1LO7BHOGUsNPtsquVhx2Ys,https://open.spotify.com/track/1LO7BHOGUsNPtsquVhx2Ys,DEU602008914,artist_monthly_listeners,15670,15670,2026-06-29T19:38:38+00:00,42.77,Middle,4.195097,Middle,4.092167,5jU4FOgki9A,https://music.youtube.com/watch?v=5jU4FOgki9A,21680,2026-06-29T19:44:09+00:00,40.36,Middle,4.336079,Middle,4.555245,Middle,Middle,magnitude,
M055,Traveler,Starbreaker,Canada,2019,heavy metal,6qCGoSR3V84W2pukqjC9rL,https://open.spotify.com/track/6qCGoSR3V84W2pukqjC9rL,ITI291901101,artist_monthly_listeners,5241,5241,2026-06-29T19:38:38+00:00,23.49,Low,3.719497,Middle,4.092167,BHfVbP9rjnE,https://music.youtube.com/watch?v=BHfVbP9rjnE,31916,2026-06-29T19:44:09+00:00,46.39,Middle,4.504022,Middle,4.555245,Middle,Middle,magnitude,
M054,Skull Fist,Better Late Than Never,Canada,2018,heavy metal,1RtW5EA4LO7nZHrgmgxCnJ,https://open.spotify.com/track/1RtW5EA4LO7nZHrgmgxCnJ,ATN261807207,artist_monthly_listeners,27621,27621,2026-06-29T19:38:38+00:00,48.80,Middle,4.441255,Middle,4.092167,8EELvJAEmIc,https://music.youtube.com/watch?v=8EELvJAEmIc,29668,2026-06-29T19:44:09+00:00,45.18,Middle,4.472303,Middle,4.555245,Middle,Middle,magnitude,
M077,Dragony,If It Bleeds We Can Kill It,Austria,2017,power metal,2YQDtovUXJ2zfPldc9mZzy,https://open.spotify.com/track/2YQDtovUXJ2zfPldc9mZzy,DET271817202,artist_monthly_listeners,31321,31321,2026-06-29T19:38:38+00:00,52.41,Middle,4.495849,Middle,4.092167,KNNgWU4kXp8,https://music.youtube.com/watch?v=KNNgWU4kXp8,49427,2026-06-29T19:44:09+00:00,50.00,Middle,4.693973,Middle,4.555245,Middle,Middle,magnitude,
M059,Iron Fire,Among the Dead,Denmark,2016,power metal,02sRzXuXZBwnfEQEuDmMWn,https://open.spotify.com/track/02sRzXuXZBwnfEQEuDmMWn,NOXPF1601020,artist_monthly_listeners,7492,7492,2026-06-29T19:38:38+00:00,28.31,Buffer,3.874656,Middle,4.092167,VnNgx3aIOtM,https://music.youtube.com/watch?v=VnNgx3aIOtM,13998,2026-06-29T19:44:09+00:00,31.93,Buffer,4.146097,Middle,4.555245,Middle,Middle,magnitude,
M083,Wisdom,Ravens' Night,Hungary,2016,power metal,2WCMdHV3NkjNIARfkjMGE0,https://open.spotify.com/track/2WCMdHV3NkjNIARfkjMGE0,ATN261505402,artist_monthly_listeners,9895,9895,2026-06-29T19:38:38+00:00,34.34,Buffer,3.995460,Middle,4.092167,qTqbnvOP_uY,https://music.youtube.com/watch?v=qTqbnvOP_uY,122215,2026-06-29T19:44:09+00:00,56.02,Middle,5.087128,Middle,4.555245,Middle,Middle,magnitude,
M069,Epidemia,Выбор есть!,Russia,2018,power metal,6DxYqQP095L38pVc5hXLdU,https://open.spotify.com/track/6DxYqQP095L38pVc5hXLdU,TCADL1891398,artist_monthly_listeners,15174,15174,2026-06-29T19:38:38+00:00,41.57,Middle,4.181129,Middle,4.092167,0Wfw-sz6gFY,https://music.youtube.com/watch?v=0Wfw-sz6gFY,528751,2026-06-29T19:44:09+00:00,69.28,Buffer,5.723252,High,6.485520,Middle,High,magnitude,
M066,Trooper,Destin,Romania,2013,heavy metal,3THTf3wxzIhruAXH9Qh0g5,https://open.spotify.com/track/3THTf3wxzIhruAXH9Qh0g5,ROA018003294,artist_monthly_listeners,12617,12617,2026-06-29T19:38:38+00:00,37.95,Middle,4.100991,Middle,4.092167,xe7dw6pDpRM,https://music.youtube.com/watch?v=xe7dw6pDpRM,343913,2026-06-29T19:44:09+00:00,65.66,Buffer,5.536450,High,6.485520,Middle,High,magnitude,
M027,Sonata Arctica,The Wolves Die Young,Finland,2014,power metal,4gAxNZIyZqKSQCYcZ0YPXH,https://open.spotify.com/track/4gAxNZIyZqKSQCYcZ0YPXH,DED831400050,artist_monthly_listeners,457896,457896,2026-06-29T19:38:38+00:00,74.10,Buffer,5.660768,High,5.895970,r8tqSA-B0oc,https://music.youtube.com/watch?v=r8tqSA-B0oc,49097,2026-06-29T19:44:09+00:00,48.80,Middle,4.691064,Middle,4.555245,High,Middle,magnitude,
M017,Saxon,Thunderbolt,United Kingdom,2018,heavy metal,0ViETXmkc9BrgimhkqREGr,https://open.spotify.com/track/0ViETXmkc9BrgimhkqREGr,UKKY81700135,artist_monthly_listeners,472829,472829,2026-06-29T19:38:38+00:00,75.30,High,5.674705,High,5.895970,zJ8FuN2OXHI,https://music.youtube.com/watch?v=zJ8FuN2OXHI,65843,2026-06-29T19:44:09+00:00,52.41,Middle,4.818516,Middle,4.555245,High,Middle,magnitude,
M026,Stratovarius,Unbreakable,Finland,2013,power metal,1IaQLINjiOCSv4INrrv0aS,https://open.spotify.com/track/1IaQLINjiOCSv4INrrv0aS,DEH841201011,artist_monthly_listeners,848393,848393,2026-06-29T19:38:38+00:00,81.33,High,5.928598,High,5.895970,fnGiOAUutBQ,https://music.youtube.com/watch?v=fnGiOAUutBQ,2712038,2026-06-29T19:44:09+00:00,83.73,High,6.433296,High,6.485520,High,High,magnitude,
M030,Wind Rose,Drunken Dwarves,Italy,2019,power metal,4qxK1lnNoYm1kevG69mhHU,https://open.spotify.com/track/4qxK1lnNoYm1kevG69mhHU,ATN261985903,artist_monthly_listeners,723787,723787,2026-06-29T19:38:38+00:00,80.12,High,5.859611,High,5.895970,oPQAfz1GulI,https://music.youtube.com/watch?v=oPQAfz1GulI,4712660,2026-06-29T19:44:09+00:00,87.35,High,6.673266,High,6.485520,High,High,magnitude,
M011,Accept,Teutonic Terror,Germany,2010,heavy metal,3crIa21lfjekujCQuGjlJT,https://open.spotify.com/track/3crIa21lfjekujCQuGjlJT,DED831000251,artist_monthly_listeners,1213609,1213609,2026-06-29T19:38:38+00:00,86.14,High,6.084079,High,5.895970,ral4hAS5dVk,https://music.youtube.com/watch?v=ral4hAS5dVk,3933340,2026-06-29T19:44:09+00:00,86.14,High,6.594762,High,6.485520,High,High,magnitude,
M020,HammerFall,Hector's Hymn,Sweden,2014,power metal,708gbPVWfY8C4Q32PSYlvW,https://open.spotify.com/track/708gbPVWfY8C4Q32PSYlvW,DED831400765,artist_monthly_listeners,889206,889206,2026-06-29T19:38:38+00:00,83.73,High,5.949003,High,5.895970,8UhfQOUt-uE,https://music.youtube.com/watch?v=8UhfQOUt-uE,1100948,2026-06-29T19:44:09+00:00,72.89,Buffer,6.041767,High,6.485520,High,High,magnitude,
M047,The HU,Wolf Totem,Mongolia,2018,heavy metal,7LSn5it9bQhJqyfEq1PM3l,https://open.spotify.com/track/7LSn5it9bQhJqyfEq1PM3l,TCADY1880557,artist_monthly_listeners,1657676,1657676,2026-06-29T19:38:38+00:00,89.76,High,6.219500,High,5.895970,jpsUPdNthGY,https://music.youtube.com/watch?v=jpsUPdNthGY,4761121,2026-06-29T19:44:09+00:00,88.55,High,6.677709,High,6.485520,High,High,magnitude,
M021,Bloodbound,Moria,Sweden,2011,power metal,5CtKdgmm86gjAETNUqDJHQ,https://open.spotify.com/track/5CtKdgmm86gjAETNUqDJHQ,DEU601103271,artist_monthly_listeners,286310,286310,2026-06-29T19:38:38+00:00,70.48,Buffer,5.456838,High,5.895970,ReUYXFb2Ug8,https://music.youtube.com/watch?v=ReUYXFb2Ug8,3751663,2026-06-29T19:44:09+00:00,84.94,High,6.574224,High,6.485520,High,High,magnitude,
M016,Judas Priest,Lightning Strike,United Kingdom,2018,heavy metal,6qopop1Rc9r1RjEIBQhc8d,https://open.spotify.com/track/6qopop1Rc9r1RjEIBQhc8d,GBARL1702142,artist_monthly_listeners,4300621,4300621,2026-06-29T19:38:38+00:00,93.37,High,6.633531,High,5.895970,Gvwm29a-bNk,https://music.youtube.com/watch?v=Gvwm29a-bNk,1960543,2026-06-29T19:44:09+00:00,80.12,High,6.292377,High,6.485520,High,High,magnitude,
M067,Pentagram,Geçmişin Yükü,Turkey,2012,heavy metal,11DYAaYg2bXqa2Vr8OpS4z,https://open.spotify.com/track/11DYAaYg2bXqa2Vr8OpS4z,TRA161200036,artist_monthly_listeners,198966,198966,2026-06-29T19:38:38+00:00,62.05,Middle,5.298781,High,5.895970,Smk-Vsb9AOk,https://music.youtube.com/watch?v=Smk-Vsb9AOk,1223810,2026-06-29T19:44:09+00:00,75.30,High,6.087714,High,6.485520,High,High,magnitude,
