candidate_id,artist,title,country,expected_year,style,spotify_track_id,spotify_url,spotify_isrc,spotify_metric,spotify_metric_value,artist_monthly_listeners,artist_monthly_listeners_captured_at,spotify_percentile,spotify_rank_tier,spotify_log10_popularity,spotify_magnitude_tier,spotify_magnitude_cluster_center,youtube_video_id,youtube_url,view_count,captured_at_utc,youtube_percentile,youtube_rank_tier,youtube_log10_popularity,youtube_magnitude_tier,youtube_magnitude_cluster_center,spotify_selected_tier,youtube_selected_tier,selection_method,selection_note
M084,Exlibris,Hellphoria,Poland,2013,power metal,4ZCE9a3407wu9FG2i8baFE,https://open.spotify.com/track/4ZCE9a3407wu9FG2i8baFE,PLA641308724,artist_monthly_listeners,742,742,2026-06-29T19:38:38+00:00,10.24,Low,2.870989,Low,2.738456,IVSlnryCW7s,https://music.youtube.com/watch?v=IVSlnryCW7s,1423,2026-06-29T19:44:09+00:00,10.24,Low,3.153510,Low,3.044291,Low,Low,rank,
M045,Carthagods,The Devil's Doll,Tunisia,2015,heavy metal,5aI2EF6gFKSdqW1bEHQFcb,https://open.spotify.com/track/5aI2EF6gFKSdqW1bEHQFcb,usl4r1823032,artist_monthly_listeners,640,640,2026-06-29T19:38:38+00:00,9.04,Low,2.806858,Low,2.738456,FnGWUPTT9vk,https://music.youtube.com/watch?v=FnGWUPTT9vk,1797,2026-06-29T19:44:09+00:00,13.86,Low,3.254790,Low,3.044291,Low,Low,rank,
M074,Skinflint,Flesh Potion,Botswana,2022,heavy metal,5Hx4kJ8V59tGFotZHYW9Vy,https://open.spotify.com/track/5Hx4kJ8V59tGFotZHYW9Vy,TCAGX2337229,artist_monthly_listeners,385,385,2026-06-29T19:38:38+00:00,5.42,Low,2.586587,Low,2.738456,Lm9xUURZJ6k,https://music.youtube.com/watch?v=Lm9xUURZJ6k,863,2026-06-29T19:44:09+00:00,7.83,Low,2.936514,Low,3.044291,Low,Low,rank,
M080,Arrayan Path,Stigmata,Cyprus,2018,power metal,1YpY2YfPHkbXCA1kaccmoF,https://open.spotify.com/track/1YpY2YfPHkbXCA1kaccmoF,CYA081302305,artist_monthly_listeners,522,522,2026-06-29T19:38:38+00:00,7.83,Low,2.718502,Low,2.738456,CxTRjHDxL4w,https://music.youtube.com/watch?v=CxTRjHDxL4w,1955,2026-06-29T19:44:09+00:00,15.06,Low,3.291369,Low,3.044291,Low,Low,rank,
M081,Eagleheart,Reverse,Czech Republic,2017,power metal,6s5DxrVYsqh50hN2adnj0m,https://open.spotify.com/track/6s5DxrVYsqh50hN2adnj0m,ITD291701568,artist_monthly_listeners,297,297,2026-06-29T19:38:38+00:00,3.01,Low,2.474216,Low,2.738456,U20b7be3zO8,https://music.youtube.com/watch?v=U20b7be3zO8,1241,2026-06-29T19:44:09+00:00,9.04,Low,3.094122,Low,3.044291,Low,Low,rank,
M065,Attick Demons,City of Golden Gates,Portugal,2016,heavy metal,6BZwg1KPw2Rl0sSzE8yGNc,https://open.spotify.com/track/6BZwg1KPw2Rl0sSzE8yGNc,DEZ902000395,artist_monthly_listeners,835,835,2026-06-29T19:38:38+00:00,11.45,Low,2.922206,Low,2.738456,DAV2A8R2x1w,https://music.youtube.com/watch?v=DAV2A8R2x1w,2445,2026-06-29T19:44:09+00:00,17.47,Low,3.388456,Low,3.044291,Low,Low,rank,
M050,LORD,United,Australia,2019,power metal,7yqjpBncd99OTk5EMWGUBT,https://open.spotify.com/track/7yqjpBncd99OTk5EMWGUBT,AUDI31900001,artist_monthly_listeners,3073,3073,2026-06-29T19:38:38+00:00,16.27,Low,3.487704,Middle,4.092167,p3syPBCnQ3w,https://music.youtube.com/watch?v=p3syPBCnQ3w,1594,2026-06-29T19:44:09+00:00,12.65,Low,3.202761,Low,3.044291,Low,Low,rank,
M038,Concerto Moon,Alone in Paradise,Japan,2017,power metal,3Idf8blFXZHb9cDAh5GH69,https://open.spotify.com/track/3Idf8blFXZHb9cDAh5GH69,JPB621900487,artist_monthly_listeners,2218,2218,2026-06-29T19:38:38+00:00,15.06,Low,3.346157,Low,2.738456,IsRd3kIThAo,https://music.youtube.com/watch?v=IsRd3kIThAo,242,2026-06-29T19:44:09+00:00,3.01,Low,2.385606,Low,3.044291,Low,Low,rank,
M076,Emerald,Digital Slavery,Switzerland,2012,heavy metal,4yqFAogywm9DGzQOoiLkil,https://open.spotify.com/track/4yqFAogywm9DGzQOoiLkil,DEZ901900009,artist_monthly_listeners,316,316,2026-06-29T19:38:38+00:00,4.22,Low,2.501059,Low,2.738456,-Qz9Af0Gcmg,https://music.youtube.com/watch?v=-Qz9Af0Gcmg,150,2026-06-29T19:44:09+00:00,1.81,Low,2.178977,Low,3.044291,Low,Low,rank,
M062,Fireforce,Combat Metal,Belgium,2014,heavy metal,6O3eQ6rVO2wOptHkAfWNEL,https://open.spotify.com/track/6O3eQ6rVO2wOptHkAfWNEL,DET271214403,artist_monthly_listeners,1479,1479,2026-06-29T19:38:38+00:00,12.65,Low,3.170262,Low,2.738456,zip1C800tdU,https://music.youtube.com/watch?v=zip1C800tdU,23220,2026-06-29T19:44:09+00:00,42.77,Middle,4.365881,Middle,4.555245,Low,Middle,rank,
M064,Sortilège,Messager - 2021,France,2021,heavy metal,4tIMFWs6e4BMCsudGF7JQL,https://open.spotify.com/track/4tIMFWs6e4BMCsudGF7JQL,FR7Z82100061,artist_monthly_listeners,14158,14158,2026-06-29T19:38:38+00:00,40.36,Middle,4.151033,Middle,4.092167,mbrjS9BqzGw,https://music.youtube.com/watch?v=mbrjS9BqzGw,4487,2026-06-29T19:44:09+00:00,21.08,Low,3.652053,Low,3.044291,Middle,Low,rank,
M060,Pyramaze,Disciples of the Sun,Denmark,2015,power metal,15y18CCQL1zxTjZHB4xdJU,https://open.spotify.com/track/15y18CCQL1zxTjZHB4xdJU,TCACF1554666,artist_monthly_listeners,31204,31204,2026-06-29T19:38:38+00:00,51.20,Middle,4.494224,Middle,4.092167,TeIgtmGKtzY,https://music.youtube.com/watch?v=TeIgtmGKtzY,64555,2026-06-29T19:44:09+00:00,51.20,Middle,4.809937,Middle,4.555245,Middle,Middle,rank,
M077,Dragony,If It Bleeds We Can Kill It,Austria,2017,power metal,2YQDtovUXJ2zfPldc9mZzy,https://open.spotify.com/track/2YQDtovUXJ2zfPldc9mZzy,DET271817202,artist_monthly_listeners,31321,31321,2026-06-29T19:38:38+00:00,52.41,Middle,4.495849,Middle,4.092167,KNNgWU4kXp8,https://music.youtube.com/watch?v=KNNgWU4kXp8,49427,2026-06-29T19:44:09+00:00,50.00,Middle,4.693973,Middle,4.555245,Middle,Middle,rank,
M054,Skull Fist,Better Late Than Never,Canada,2018,heavy metal,1RtW5EA4LO7nZHrgmgxCnJ,https://open.spotify.com/track/1RtW5EA4LO7nZHrgmgxCnJ,ATN261807207,artist_monthly_listeners,27621,27621,2026-06-29T19:38:38+00:00,48.80,Middle,4.441255,Middle,4.092167,8EELvJAEmIc,https://music.youtube.com/watch?v=8EELvJAEmIc,29668,2026-06-29T19:44:09+00:00,45.18,Middle,4.472303,Middle,4.555245,Middle,Middle,rank,
M046,Orphaned Land,Like Orpheus,Israel,2018,heavy metal,2xT6dOB9HTQgP4WoR5ByI2,https://open.spotify.com/track/2xT6dOB9HTQgP4WoR5ByI2,US4E41848607,artist_monthly_listeners,28978,28978,2026-06-29T19:38:38+00:00,50.00,Middle,4.462083,Middle,4.092167,3G3hBjV6R60,https://music.youtube.com/watch?v=3G3hBjV6R60,129774,2026-06-29T19:44:09+00:00,57.23,Middle,5.113191,Middle,4.555245,Middle,Middle,rank,
M006,Visigoth,Warrior Queen,United States,2015,heavy metal,6bzEx9m1sOsY2WgAjPjcVX,https://open.spotify.com/track/6bzEx9m1sOsY2WgAjPjcVX,USMBR1812841,artist_monthly_listeners,24956,24956,2026-06-29T19:38:38+00:00,46.39,Middle,4.397192,Middle,4.092167,AW3lGArBDMs,https://music.youtube.com/watch?v=AW3lGArBDMs,161571,2026-06-29T19:44:09+00:00,58.43,Middle,5.208366,Middle,4.555245,Middle,Middle,rank,
M032,Vision Divine,Angel of Revenge,Italy,2018,power metal,4ktpjpQSF5GeX03fzd06EJ,https://open.spotify.com/track/4ktpjpQSF5GeX03fzd06EJ,DEAR41838004,artist_monthly_listeners,25610,25610,2026-06-29T19:38:38+00:00,47.59,Middle,4.408427,Middle,4.092167,183PB-W2FB4,https://music.youtube.com/watch?v=183PB-W2FB4,203378,2026-06-29T19:44:09+00:00,60.84,Middle,5.308306,Middle,4.555245,Middle,Middle,rank,
M034,Shaman,Brand New Me,Brazil,2022,power metal,4O9EMs6XKGFLMMEqeHd0JQ,https://open.spotify.com/track/4O9EMs6XKGFLMMEqeHd0JQ,BRHHU2200009,artist_monthly_listeners,193502,193502,2026-06-29T19:38:38+00:00,60.84,Middle,5.286688,High,5.895970,netD8CyDePg,https://music.youtube.com/watch?v=netD8CyDePg,27865,2026-06-29T19:44:09+00:00,43.98,Middle,4.445075,Middle,4.555245,Middle,Middle,rank,
M023,Civil War,Rome Is Falling,Sweden,2012,power metal,6oYAAgSsy3A5167QZl6Zb5,https://open.spotify.com/track/6oYAAgSsy3A5167QZl6Zb5,SEXTE1202101,artist_monthly_listeners,68031,68031,2026-06-29T19:38:38+00:00,53.61,Middle,4.832713,Middle,4.092167,MuAMjthSJm0,https://music.youtube.com/watch?v=MuAMjthSJm0,1392219,2026-06-29T19:44:09+00:00,77.71,High,6.143708,High,6.485520,Middle,High,rank,
M067,Pentagram,Geçmişin Yükü,Turkey,2012,heavy metal,11DYAaYg2bXqa2Vr8OpS4z,https://open.spotify.com/track/11DYAaYg2bXqa2Vr8OpS4z,TRA161200036,artist_monthly_listeners,198966,198966,2026-06-29T19:38:38+00:00,62.05,Middle,5.298781,High,5.895970,Smk-Vsb9AOk,https://music.youtube.com/watch?v=Smk-Vsb9AOk,1223810,2026-06-29T19:44:09+00:00,75.30,High,6.087714,High,6.485520,Middle,High,rank,
M010,Helloween,Skyfall,Germany,2021,power metal,5lsqw3b9RryGa7NrhvdrMi,https://open.spotify.com/track/5lsqw3b9RryGa7NrhvdrMi,DED832001268,artist_monthly_listeners,1442999,1442999,2026-06-29T19:38:38+00:00,88.55,High,6.159266,High,5.895970,BESgqzL8ijE,https://music.youtube.com/watch?v=BESgqzL8ijE,173407,2026-06-29T19:44:09+00:00,59.64,Middle,5.239069,Middle,4.555245,High,Middle,rank,
M017,Saxon,Thunderbolt,United Kingdom,2018,heavy metal,0ViETXmkc9BrgimhkqREGr,https://open.spotify.com/track/0ViETXmkc9BrgimhkqREGr,UKKY81700135,artist_monthly_listeners,472829,472829,2026-06-29T19:38:38+00:00,75.30,High,5.674705,High,5.895970,zJ8FuN2OXHI,https://music.youtube.com/watch?v=zJ8FuN2OXHI,65843,2026-06-29T19:44:09+00:00,52.41,Middle,4.818516,Middle,4.555245,High,Middle,rank,
M047,The HU,Wolf Totem,Mongolia,2018,heavy metal,7LSn5it9bQhJqyfEq1PM3l,https://open.spotify.com/track/7LSn5it9bQhJqyfEq1PM3l,TCADY1880557,artist_monthly_listeners,1657676,1657676,2026-06-29T19:38:38+00:00,89.76,High,6.219500,High,5.895970,jpsUPdNthGY,https://music.youtube.com/watch?v=jpsUPdNthGY,4761121,2026-06-29T19:44:09+00:00,88.55,High,6.677709,High,6.485520,High,High,rank,
M058,Volbeat,The Devil's Bleeding Crown,Denmark,2016,heavy metal,3TjQAc2PzWzlSDrnq61J1y,https://open.spotify.com/track/3TjQAc2PzWzlSDrnq61J1y,DKNE11600101,artist_monthly_listeners,4886124,4886124,2026-06-29T19:38:38+00:00,94.58,High,6.688965,High,5.895970,5dqummhs3S8,https://music.youtube.com/watch?v=5dqummhs3S8,5343528,2026-06-29T19:44:09+00:00,89.76,High,6.727828,High,6.485520,High,High,rank,
M019,Sabaton,Bismarck,Sweden,2019,power metal,39m87lOMd5ccENPVvAT7gH,https://open.spotify.com/track/39m87lOMd5ccENPVvAT7gH,SE6HE1900101,artist_monthly_listeners,3239085,3239085,2026-06-29T19:38:38+00:00,92.17,High,6.510422,High,5.895970,ERj08qJ2FAU,https://music.youtube.com/watch?v=ERj08qJ2FAU,14176293,2026-06-29T19:44:09+00:00,93.37,High,7.151563,High,6.485520,High,High,rank,
M025,Beast in Black,Blind and Frozen,Finland,2017,power metal,7iOSeHfKU2EhSKcX7TbjKG,https://open.spotify.com/track/7iOSeHfKU2EhSKcX7TbjKG,DED831701293,artist_monthly_listeners,1271062,1271062,2026-06-29T19:38:38+00:00,87.35,High,6.104167,High,5.895970,IVKByFMQHss,https://music.youtube.com/watch?v=IVKByFMQHss,14385630,2026-06-29T19:44:09+00:00,94.58,High,7.157929,High,6.485520,High,High,rank,
M011,Accept,Teutonic Terror,Germany,2010,heavy metal,3crIa21lfjekujCQuGjlJT,https://open.spotify.com/track/3crIa21lfjekujCQuGjlJT,DED831000251,artist_monthly_listeners,1213609,1213609,2026-06-29T19:38:38+00:00,86.14,High,6.084079,High,5.895970,ral4hAS5dVk,https://music.youtube.com/watch?v=ral4hAS5dVk,3933340,2026-06-29T19:44:09+00:00,86.14,High,6.594762,High,6.485520,High,High,rank,
M001,Metallica,Moth Into Flame,United States,2016,heavy metal,3JjZq20Kv6UphyyirAaY9A,https://open.spotify.com/track/3JjZq20Kv6UphyyirAaY9A,QMKHM1600380,artist_monthly_listeners,32848505,32848505,2026-06-29T19:38:38+00:00,99.40,High,7.516516,High,5.895970,BtRyz1qGI8c,https://music.youtube.com/watch?v=BtRyz1qGI8c,5386594,2026-06-29T19:44:09+00:00,90.96,High,6.731314,High,6.485520,High,High,rank,
M018,DragonForce,Cry Thunder,United Kingdom,2012,power metal,45W8En2qul3ljQKzIbsyT4,https://open.spotify.com/track/45W8En2qul3ljQKzIbsyT4,DEH841500444,artist_monthly_listeners,1856073,1856073,2026-06-29T19:38:38+00:00,90.96,High,6.268595,High,5.895970,20vgg_WoTz4,https://music.youtube.com/watch?v=20vgg_WoTz4,1631618,2026-06-29T19:44:09+00:00,78.92,High,6.212619,High,6.485520,High,High,rank,
M030,Wind Rose,Drunken Dwarves,Italy,2019,power metal,4qxK1lnNoYm1kevG69mhHU,https://open.spotify.com/track/4qxK1lnNoYm1kevG69mhHU,ATN261985903,artist_monthly_listeners,723787,723787,2026-06-29T19:38:38+00:00,80.12,High,5.859611,High,5.895970,oPQAfz1GulI,https://music.youtube.com/watch?v=oPQAfz1GulI,4712660,2026-06-29T19:44:09+00:00,87.35,High,6.673266,High,6.485520,High,High,rank,
