candidate_id,artist,title,country,expected_year,style,spotify_track_id,spotify_url,spotify_isrc,spotify_metric,spotify_metric_value,artist_monthly_listeners,artist_monthly_listeners_captured_at,stream_count,spotify_percentile,spotify_tier,youtube_video_id,youtube_url,view_count,youtube_percentile,youtube_tier,selection_note
M062,Fireforce,Combat Metal,Belgium,2014,heavy metal,6O3eQ6rVO2wOptHkAfWNEL,https://open.spotify.com/track/6O3eQ6rVO2wOptHkAfWNEL,DET271214403,artist_monthly_listeners,1479,1479,2026-06-29T19:38:38+00:00,,12.65,Low,zip1C800tdU,https://music.youtube.com/watch?v=zip1C800tdU,23220,42.77,Middle,
M055,Traveler,Starbreaker,Canada,2019,heavy metal,6qCGoSR3V84W2pukqjC9rL,https://open.spotify.com/track/6qCGoSR3V84W2pukqjC9rL,ITI291901101,artist_monthly_listeners,5241,5241,2026-06-29T19:38:38+00:00,,23.49,Low,BHfVbP9rjnE,https://music.youtube.com/watch?v=BHfVbP9rjnE,31916,46.39,Middle,
M064,Sortilège,Messager - 2021,France,2021,heavy metal,4tIMFWs6e4BMCsudGF7JQL,https://open.spotify.com/track/4tIMFWs6e4BMCsudGF7JQL,FR7Z82100061,artist_monthly_listeners,14158,14158,2026-06-29T19:38:38+00:00,,40.36,Middle,mbrjS9BqzGw,https://music.youtube.com/watch?v=mbrjS9BqzGw,4487,21.08,Low,
M041,Firewind,World on Fire,Greece,2010,power metal,73VDhH8TvIIIeps0RuqXaf,https://open.spotify.com/track/73VDhH8TvIIIeps0RuqXaf,US4E41067702,artist_monthly_listeners,107557,107557,2026-06-29T19:38:38+00:00,,57.23,Middle,qmnQfohX2vc,https://music.youtube.com/watch?v=qmnQfohX2vc,7505,24.70,Low,
M023,Civil War,Rome Is Falling,Sweden,2012,power metal,6oYAAgSsy3A5167QZl6Zb5,https://open.spotify.com/track/6oYAAgSsy3A5167QZl6Zb5,SEXTE1202101,artist_monthly_listeners,68031,68031,2026-06-29T19:38:38+00:00,,53.61,Middle,MuAMjthSJm0,https://music.youtube.com/watch?v=MuAMjthSJm0,1392219,77.71,High,
M067,Pentagram,Geçmişin Yükü,Turkey,2012,heavy metal,11DYAaYg2bXqa2Vr8OpS4z,https://open.spotify.com/track/11DYAaYg2bXqa2Vr8OpS4z,TRA161200036,artist_monthly_listeners,198966,198966,2026-06-29T19:38:38+00:00,,62.05,Middle,Smk-Vsb9AOk,https://music.youtube.com/watch?v=Smk-Vsb9AOk,1223810,75.30,High,
M010,Helloween,Skyfall,Germany,2021,power metal,5lsqw3b9RryGa7NrhvdrMi,https://open.spotify.com/track/5lsqw3b9RryGa7NrhvdrMi,DED832001268,artist_monthly_listeners,1442999,1442999,2026-06-29T19:38:38+00:00,,88.55,High,BESgqzL8ijE,https://music.youtube.com/watch?v=BESgqzL8ijE,173407,59.64,Middle,
M017,Saxon,Thunderbolt,United Kingdom,2018,heavy metal,0ViETXmkc9BrgimhkqREGr,https://open.spotify.com/track/0ViETXmkc9BrgimhkqREGr,UKKY81700135,artist_monthly_listeners,472829,472829,2026-06-29T19:38:38+00:00,,75.30,High,zJ8FuN2OXHI,https://music.youtube.com/watch?v=zJ8FuN2OXHI,65843,52.41,Middle,
M060,Pyramaze,Disciples of the Sun,Denmark,2015,power metal,15y18CCQL1zxTjZHB4xdJU,https://open.spotify.com/track/15y18CCQL1zxTjZHB4xdJU,TCACF1554666,artist_monthly_listeners,31204,31204,2026-06-29T19:38:38+00:00,,51.20,Middle,TeIgtmGKtzY,https://music.youtube.com/watch?v=TeIgtmGKtzY,64555,51.20,Middle,
M077,Dragony,If It Bleeds We Can Kill It,Austria,2017,power metal,2YQDtovUXJ2zfPldc9mZzy,https://open.spotify.com/track/2YQDtovUXJ2zfPldc9mZzy,DET271817202,artist_monthly_listeners,31321,31321,2026-06-29T19:38:38+00:00,,52.41,Middle,KNNgWU4kXp8,https://music.youtube.com/watch?v=KNNgWU4kXp8,49427,50.00,Middle,
M054,Skull Fist,Better Late Than Never,Canada,2018,heavy metal,1RtW5EA4LO7nZHrgmgxCnJ,https://open.spotify.com/track/1RtW5EA4LO7nZHrgmgxCnJ,ATN261807207,artist_monthly_listeners,27621,27621,2026-06-29T19:38:38+00:00,,48.80,Middle,8EELvJAEmIc,https://music.youtube.com/watch?v=8EELvJAEmIc,29668,45.18,Middle,
