source_type,platform,week_folder,week_number,user_folder,user_number,playlist_file,playlist_name,playlist_position,track_id,track_name,artist_name,popularity_metric,popularity_value,popularity_log10,percentile_within_original_distribution,ratio_to_original_median,log10_delta_from_original_median,captured_at_utc,video_or_track_type,metadata_error
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,1,4ZCE9a3407wu9FG2i8baFE,Hellphoria,Exlibris,spotify_artist_monthly_listeners,752,2.8762178,18.333333,0.02592433,-1.5862925,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,2,5aI2EF6gFKSdqW1bEHQFcb,The Devil's Doll,Carthagods,spotify_artist_monthly_listeners,627,2.7972675,15,0.0216151,-1.6652428,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,3,5Hx4kJ8V59tGFotZHYW9Vy,Flesh Potion,Skinflint,spotify_artist_monthly_listeners,339,2.5301997,8.3333333,0.011686633,-1.9323106,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,4,1YpY2YfPHkbXCA1kaccmoF,Stigmata,Arrayan Path,spotify_artist_monthly_listeners,511,2.7084209,11.666667,0.017616134,-1.7540894,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,5,6s5DxrVYsqh50hN2adnj0m,Reverse,Eagleheart,spotify_artist_monthly_listeners,275,2.4393327,1.6666667,0.0094803068,-2.0231776,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,6,6BZwg1KPw2Rl0sSzE8yGNc,City of Golden Gates,Attick Demons,spotify_artist_monthly_listeners,827,2.9175055,21.666667,0.028509868,-1.5450048,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,7,7yqjpBncd99OTk5EMWGUBT,United,LORD,spotify_artist_monthly_listeners,3104,3.4919217,31.666667,0.10700681,-0.97058859,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,8,3Idf8blFXZHb9cDAh5GH69,ALONE IN PARADISE,CONCERTO MOON,spotify_artist_monthly_listeners,2091,3.320354,28.333333,0.072084806,-1.1421563,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,9,4yqFAogywm9DGzQOoiLkil,Digital Slavery,Emerald,spotify_artist_monthly_listeners,316,2.4996871,5,0.010893734,-1.9628232,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,10,6O3eQ6rVO2wOptHkAfWNEL,Combat Metal,Fireforce,spotify_artist_monthly_listeners,1482,3.1708482,25,0.051090235,-1.2916621,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,11,4tIMFWs6e4BMCsudGF7JQL,Messager - 2021,Sortilège,spotify_artist_monthly_listeners,12510,4.0972573,35,0.43126778,-0.36525299,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,12,15y18CCQL1zxTjZHB4xdJU,Disciples of the Sun,Pyramaze,spotify_artist_monthly_listeners,29454,4.4691443,51.666667,1.0153926,0.0066339816,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,13,2YQDtovUXJ2zfPldc9mZzy,If It Bleeds We Can Kill It,Dragony,spotify_artist_monthly_listeners,30472,4.483901,55,1.0504869,0.021390659,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,14,1RtW5EA4LO7nZHrgmgxCnJ,Better Late Than Never,Skull Fist,spotify_artist_monthly_listeners,27036,4.4319424,45,0.93203482,-0.030567863,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,15,2xT6dOB9HTQgP4WoR5ByI2,Like Orpheus,Orphaned Land,spotify_artist_monthly_listeners,28561,4.4557734,48.333333,0.98460743,-0.0067368917,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,16,6bzEx9m1sOsY2WgAjPjcVX,Warrior Queen,Visigoth,spotify_artist_monthly_listeners,24661,4.3920107,41.666667,0.85015944,-0.070499618,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,17,4ktpjpQSF5GeX03fzd06EJ,Angel of Revenge,Vision Divine,spotify_artist_monthly_listeners,22072,4.3438417,38.333333,0.76090666,-0.11866861,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,18,4O9EMs6XKGFLMMEqeHd0JQ,Brand New Me,Shaman,spotify_artist_monthly_listeners,177615,5.2494796,61.666667,6.1230716,0.78696934,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,19,6oYAAgSsy3A5167QZl6Zb5,Rome Is Falling,Civil War,spotify_artist_monthly_listeners,68740,4.8372095,58.333333,2.369732,0.37469923,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,20,11DYAaYg2bXqa2Vr8OpS4z,Geçmişin Yükü,Pentagram,spotify_artist_monthly_listeners,194248,5.2883566,65,6.696475,0.82584626,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,21,5lsqw3b9RryGa7NrhvdrMi,Skyfall,Helloween,spotify_artist_monthly_listeners,1427374,6.1545378,81.666667,49.207067,1.6920275,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,22,0ViETXmkc9BrgimhkqREGr,Thunderbolt,Saxon,spotify_artist_monthly_listeners,463847,5.6663748,68.333333,15.990589,1.2038645,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,23,7LSn5it9bQhJqyfEq1PM3l,Wolf Totem,The HU,spotify_artist_monthly_listeners,1560226,6.1931875,85,53.786986,1.7306772,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,24,3TjQAc2PzWzlSDrnq61J1y,The Devil's Bleeding Crown,Volbeat,spotify_artist_monthly_listeners,4708532,6.6728855,95,162.32119,2.2103752,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,25,39m87lOMd5ccENPVvAT7gH,Bismarck,Sabaton,spotify_artist_monthly_listeners,3180780,6.5025336,91.666667,109.65371,2.0400233,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,26,7iOSeHfKU2EhSKcX7TbjKG,Blind And Frozen,Beast In Black,spotify_artist_monthly_listeners,1273833,6.1051125,78.333333,43.913919,1.6426022,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,27,3crIa21lfjekujCQuGjlJT,Teutonic Terror,Accept,spotify_artist_monthly_listeners,1157194,6.0634062,75,39.892924,1.6008959,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,28,3JjZq20Kv6UphyyirAaY9A,Moth Into Flame,Metallica,spotify_artist_monthly_listeners,32264982,7.5087314,98.333333,1112.2979,3.0462211,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,29,45W8En2qul3ljQKzIbsyT4,Cry Thunder,DragonForce,spotify_artist_monthly_listeners,1812944,6.2583844,88.333333,62.499147,1.7958741,2026-07-14T10:57:52+00:00,,
original,spotify,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Spotify/original_playlist_popularity.csv,Heavy Metal MCT,30,4qxK1lnNoYm1kevG69mhHU,Drunken Dwarves,Wind Rose,spotify_artist_monthly_listeners,710153,5.8513519,71.666667,24.481703,1.3888416,2026-07-14T10:57:52+00:00,,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,1,43buFx217gR6dOU4KcwhhG,To The Last Drop Of Blood,Beast In Black,spotify_artist_monthly_listeners,1265722,6.1023383,76.666667,43.634301,1.639828,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,2,2Wy6uQOX2y45ooKuQb7Q9B,Dawn of Victory,Rhapsody,spotify_artist_monthly_listeners,370033,5.5682405,66.666667,12.75646,1.1057302,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,3,7f1YVLsmmbmobjlt40VWrt,Midnight Blitz,TAILGUNNER,spotify_artist_monthly_listeners,28007,4.4472666,46.666667,0.96550892,-0.01524371,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,4,56wSCyYGzDAFSGYX7rq2Oi,First in Line,Sonata Arctica,spotify_artist_monthly_listeners,453572,5.6566462,66.666667,15.63637,1.1941359,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,5,35TLynakKhHyg7FcONAypo,Center of the Universe,Kamelot,spotify_artist_monthly_listeners,372111,5.5706725,66.666667,12.828096,1.1081622,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,6,3jPXnbdxziaxnkUeA8e5Cc,Dethrone Tyranny - Remastered,Gamma Ray,spotify_artist_monthly_listeners,168622,5.2269142,60,5.8130483,0.76440394,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,7,2gWvDFPsXwX0fzwxPaTbQk,Metal Heart,Dimmu Borgir,spotify_artist_monthly_listeners,406152,5.6086886,66.666667,14.00162,1.1461783,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,8,3tuCmmn6JmRXPln2Zt7KyI,Brothers Of Metal (Part 1),Manowar,spotify_artist_monthly_listeners,1036187,6.0154381,73.333333,35.721348,1.5529278,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,9,00npmhc8GChWQcovg8W6D5,Riding the Storm (Reworked version 2003) (2017 Remaster),Running Wild,spotify_artist_monthly_listeners,105505,5.023273,60,3.6371628,0.56076274,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,10,6V8vNnVazB8BtWFbZuxJrZ,Dark Saga,Iced Earth,spotify_artist_monthly_listeners,220275,5.3429652,66.666667,7.5937258,0.88045491,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,11,0Ot7wMcgFkhuz1dd0d2PMy,City of Heroes,Michael Kiske & Amanda Somerville,spotify_artist_monthly_listeners,25289,4.4029317,43.333333,0.87180901,-0.059578644,2026-08-04T18:37:42+00:00,track,
