source_type,week_folder,week_number,user_folder,user_number,playlist_file,playlist_name,platform,popularity_metric,track_count,tracks_with_popularity,tracks_missing_popularity,minimum,q25,median,mean,q75,maximum,mean_log10,sd_log10,geometric_mean,median_ratio_vs_original,median_log10_delta_vs_original,share_above_original_median,ks_distance_vs_original,first_capture_utc,last_capture_utc
original,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Youtube/original_playlist_popularity.csv,Heavy Metal MCT,youtube,youtube_exact_video_view_count,30,30,0,172,2111.25,65731.5,1946030.6,1581717,14445085,4.8467447,1.5209822,70265.911,1,0,0.5,0,2026-07-14T10:57:52+00:00,2026-07-14T10:57:52+00:00
recommended,Week3_04August,3,User1,1,experiment_results/Week3_04August/Youtube/User1/Week3_User1_04.08.csv,Discover Mix,youtube,youtube_exact_video_view_count,30,30,0,72132,213216.75,887332.5,1.3653569e+08,4124431,2.760775e+09,6.1877452,1.1028726,1540796,13.49935,1.1303128,1,0.53333333,2026-08-04T18:57:58+00:00,2026-08-04T18:57:58+00:00
recommended,Week4_11August,4,User1,1,experiment_results/Week4_11August/Youtube/User1/Week1_User1_11.08.csv,Discover Mix,youtube,youtube_exact_video_view_count,30,30,0,43122,483728,1510403,9211106.5,4131724.8,83177652,6.200645,0.84775133,1587248.8,22.978374,1.3613193,0.96666667,0.53333333,2026-08-12T17:27:37+00:00,2026-08-12T17:27:37+00:00
recommended,Week3_04August,3,User2,2,experiment_results/Week3_04August/Youtube/User2/Week3_User2_04.08.csv,Discover Mix,youtube,youtube_exact_video_view_count,30,30,0,6363,878921,3670124.5,59414248,33851824,8.4309885e+08,6.7020574,1.0962908,5035671.7,55.835094,1.7469073,0.96666667,0.63333333,2026-08-04T18:59:23+00:00,2026-08-04T18:59:23+00:00
recommended,Week4_11August,4,User2,2,experiment_results/Week4_11August/Youtube/User2/Week2_User2_11.08.csv,Discover Mix,youtube,youtube_exact_video_view_count,30,30,0,5176,249729.25,1435128,48683285,4597334.2,1.2070454e+09,6.1247508,1.1628811,1332756.4,21.833185,1.3391171,0.86666667,0.43333333,2026-08-12T17:28:39+00:00,2026-08-12T17:28:39+00:00
recommended,Week3_04August,3,User3,3,experiment_results/Week3_04August/Youtube/User3/Week3_User3_04.08.csv,Discover Mix,youtube,youtube_exact_video_view_count,30,30,0,2337,487849,1507489,40578961,12075146,8.4310051e+08,6.2921908,1.1313512,1959705.7,22.934042,1.3604806,0.96666667,0.5,2026-08-04T19:00:06+00:00,2026-08-04T19:00:06+00:00
recommended,Week4_11August,4,User3,3,experiment_results/Week4_11August/Youtube/User3/Week3_User3_11.08.csv,Discover Mix,youtube,youtube_exact_video_view_count,30,30,0,21481,276863.25,1318518,5793008.8,3597340.2,83326959,6.0265499,0.79968388,1063040.8,20.05915,1.3023125,0.96666667,0.5,2026-08-12T17:29:40+00:00,2026-08-12T17:29:40+00:00
recommended,Week3_04August,3,User4,4,experiment_results/Week3_04August/Youtube/User4/Week3_User4_04.08.csv,Discover Mix,youtube,youtube_exact_video_view_count,30,30,0,45464,603904.25,6326235.5,84565128,36417633,1.7558391e+09,6.6737095,1.1514687,4717473.9,96.243589,1.9833718,0.96666667,0.5,2026-08-04T19:02:17+00:00,2026-08-04T19:02:17+00:00
recommended,Week4_11August,4,User4,4,experiment_results/Week4_11August/Youtube/User4/Week4_User4_11.08.csv,Discover Mix,youtube,youtube_exact_video_view_count,30,30,0,39375,294746.5,3725138,53749123,20031478,1.2070467e+09,6.4603614,1.0853316,2886432.4,56.672037,1.7533688,0.96666667,0.5,2026-08-12T17:30:39+00:00,2026-08-12T17:30:39+00:00
recommended,Week3_04August,3,User5,5,experiment_results/Week3_04August/Youtube/User5/Week3_User5_04.08.csv,Discover Mix,youtube,youtube_exact_video_view_count,30,30,0,33210,1948330.5,10751914,1.4816065e+08,46319360,1.7558391e+09,6.9426317,1.2041667,8762573.4,163.57323,2.2137122,0.93333333,0.56666667,2026-08-04T19:03:19+00:00,2026-08-04T19:03:19+00:00
recommended,Week4_11August,4,User5,5,experiment_results/Week4_11August/Youtube/User5/Week5_User5_11.08.csv,Discover Mix,youtube,youtube_exact_video_view_count,30,30,0,22233,562069,1356162.5,47911101,3494563.8,1.2070467e+09,6.2043713,0.98094542,1600926.3,20.631851,1.3145382,0.9,0.53333333,2026-08-12T17:31:29+00:00,2026-08-12T17:31:29+00:00
recommended,Week3_04August,3,User6,6,experiment_results/Week3_04August/Youtube/User6/Week3_User6_04.08.csv,Discover Mix,youtube,youtube_exact_video_view_count,30,30,0,26972,448785.5,10056242,2.1665488e+08,85962151,2.7607809e+09,6.8697232,1.4211461,7408379.7,152.98969,2.1846622,0.9,0.53333333,2026-08-04T19:04:21+00:00,2026-08-04T19:04:21+00:00
recommended,Week4_11August,4,User6,6,experiment_results/Week4_11August/Youtube/User6/Week6_User6_11.08.csv,Discover Mix,youtube,youtube_exact_video_view_count,30,30,0,43122,266484.5,1635534.5,29559936,8722767,4.2047084e+08,6.3309839,1.1080052,2142811.3,24.88205,1.3958862,0.9,0.46666667,2026-08-12T17:32:33+00:00,2026-08-12T17:32:33+00:00
