source_type,platform,week_folder,week_number,user_folder,user_number,playlist_file,playlist_name,playlist_position,track_id,track_name,artist_name,popularity_metric,popularity_value,popularity_log10,percentile_within_original_distribution,ratio_to_original_median,log10_delta_from_original_median,captured_at_utc,video_or_track_type,metadata_error
original,youtube,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Youtube/original_playlist_popularity.csv,Heavy Metal MCT,1,IVSlnryCW7s,Hellphoria,Exlibris,youtube_exact_video_view_count,1430,3.155336,15,0.021755171,-1.6624375,2026-07-14T10:57:52+00:00,MUSIC_VIDEO_TYPE_ATV,
original,youtube,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Youtube/original_playlist_popularity.csv,Heavy Metal MCT,2,FnGWUPTT9vk,The Devil's Doll,Carthagods,youtube_exact_video_view_count,1804,3.2562365,21.666667,0.027444985,-1.561537,2026-07-14T10:57:52+00:00,MUSIC_VIDEO_TYPE_ATV,
original,youtube,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Youtube/original_playlist_popularity.csv,Heavy Metal MCT,3,Lm9xUURZJ6k,Flesh Potion,Skinflint,youtube_exact_video_view_count,884,2.9464523,8.3333333,0.013448651,-1.8713213,2026-07-14T10:57:52+00:00,MUSIC_VIDEO_TYPE_ATV,
original,youtube,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Youtube/original_playlist_popularity.csv,Heavy Metal MCT,4,CxTRjHDxL4w,Stigmata,Arrayan Path,youtube_exact_video_view_count,1979,3.2964458,25,0.030107331,-1.5213277,2026-07-14T10:57:52+00:00,MUSIC_VIDEO_TYPE_ATV,
original,youtube,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Youtube/original_playlist_popularity.csv,Heavy Metal MCT,5,U20b7be3zO8,Reverse,Eagleheart,youtube_exact_video_view_count,1246,3.095518,11.666667,0.018955904,-1.7222555,2026-07-14T10:57:52+00:00,MUSIC_VIDEO_TYPE_ATV,
original,youtube,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Youtube/original_playlist_popularity.csv,Heavy Metal MCT,6,DAV2A8R2x1w,City of Golden Gates,Attick Demons,youtube_exact_video_view_count,2508,3.3993275,28.333333,0.038155222,-1.418446,2026-07-14T10:57:52+00:00,MUSIC_VIDEO_TYPE_ATV,
original,youtube,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Youtube/original_playlist_popularity.csv,Heavy Metal MCT,7,p3syPBCnQ3w,United,Lord,youtube_exact_video_view_count,1611,3.2070955,18.333333,0.024508797,-1.610678,2026-07-14T10:57:52+00:00,MUSIC_VIDEO_TYPE_ATV,
original,youtube,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Youtube/original_playlist_popularity.csv,Heavy Metal MCT,8,IsRd3kIThAo,ALONE IN PARADISE,CONCERTO MOON,youtube_exact_video_view_count,281,2.4487063,5,0.0042749671,-2.3690672,2026-07-14T10:57:52+00:00,MUSIC_VIDEO_TYPE_ATV,
original,youtube,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Youtube/original_playlist_popularity.csv,Heavy Metal MCT,9,-Qz9Af0Gcmg,Digital Slavery,Emerald,youtube_exact_video_view_count,172,2.2355284,1.6666667,0.0026167058,-2.5822451,2026-07-14T10:57:52+00:00,MUSIC_VIDEO_TYPE_ATV,
original,youtube,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Youtube/original_playlist_popularity.csv,Heavy Metal MCT,10,zip1C800tdU,Combat Metal,Fireforce,youtube_exact_video_view_count,23399,4.3691973,35,0.35597849,-0.44857625,2026-07-14T10:57:52+00:00,MUSIC_VIDEO_TYPE_ATV,
original,youtube,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Youtube/original_playlist_popularity.csv,Heavy Metal MCT,11,mbrjS9BqzGw,Messager (2021),Sortilège,youtube_exact_video_view_count,4506,3.6537912,31.666667,0.068551608,-1.1639824,2026-07-14T10:57:52+00:00,MUSIC_VIDEO_TYPE_ATV,
original,youtube,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Youtube/original_playlist_popularity.csv,Heavy Metal MCT,12,TeIgtmGKtzY,Disciples of the Sun,Pyramaze,youtube_exact_video_view_count,65130,4.8137811,48.333333,0.99084914,-0.0039924649,2026-07-14T10:57:52+00:00,MUSIC_VIDEO_TYPE_ATV,
original,youtube,Original playlist,0,Original playlist,,experiment_results/Week1_21July/Youtube/original_playlist_popularity.csv,Heavy Metal MCT,13,KNNgWU4kXp8,If It Bleeds We Can Kill It,Dragony,youtube_exact_video_view_count,49987,4.6988571,45,0.76047253,-0.11891647,2026-07-14T10:57:52+00:00,MUSIC_VIDEO_TYPE_ATV,
