candidate_id,artist,title,country,expected_year,style,youtube_artist_name
M001,Metallica,Moth Into Flame,United States,2016,heavy metal
M002,Avenged Sevenfold,Hail to the King,United States,2013,heavy metal
M003,Five Finger Death Punch,Wrong Side of Heaven,United States,2013,heavy metal
M004,Kamelot,Veil of Elysium,United States,2015,power metal
M005,Symphony X,Nevermore,United States,2015,power metal
M006,Visigoth,Warrior Queen,United States,2015,heavy metal
M007,Eternal Champion,I Am the Hammer,United States,2016,heavy metal
M008,Powerwolf,Army of the Night,Germany,2015,power metal
M009,Blind Guardian,Twilight of the Gods,Germany,2015,power metal
M010,Helloween,Skyfall,Germany,2021,power metal
M011,Accept,Teutonic Terror,Germany,2010,heavy metal
M012,Orden Ogan,Gunman,Germany,2017,power metal
M013,Primal Fear,The End Is Near,Germany,2016,heavy metal
M014,Grave Digger,Highland Farewell,Germany,2010,heavy metal
M015,Iron Maiden,Speed of Light,United Kingdom,2015,heavy metal
M016,Judas Priest,Lightning Strike,United Kingdom,2018,heavy metal
M017,Saxon,Thunderbolt,United Kingdom,2018,heavy metal
M018,DragonForce,Cry Thunder,United Kingdom,2012,power metal
M019,Sabaton,Bismarck,Sweden,2019,power metal
M020,HammerFall,Hector's Hymn,Sweden,2014,power metal
M021,Bloodbound,Moria,Sweden,2011,power metal
M022,Dynazty,Heartless Madness,Sweden,2020,power metal
M023,Civil War,Rome Is Falling,Sweden,2012,power metal
M024,Brothers of Metal,Yggdrasil,Sweden,2017,power metal
M025,Beast in Black,Blind and Frozen,Finland,2017,power metal
M026,Stratovarius,Unbreakable,Finland,2013,power metal
M027,Sonata Arctica,The Wolves Die Young,Finland,2014,power metal
M028,Turisas,Ten More Miles,Finland,2013,heavy metal
M029,Rhapsody of Fire,Rain of Fury,Italy,2019,power metal
M030,Wind Rose,Drunken Dwarves,Italy,2019,power metal
M031,Trick or Treat,Rabbit's Hill,Italy,2012,power metal
M032,Vision Divine,Angel of Revenge,Italy,2018,power metal
M033,Angra,Black Hearted Soul,Brazil,2014,power metal
M034,Shaman,Brand New Me,Brazil,2022,power metal
M035,Armored Dawn,Sail Away,Brazil,2018,heavy metal
M036,Galneryus,Raise My Sword,Japan,2015,power metal
M037,Anthem,The Artery Song,Japan,2012,heavy metal
M038,Concerto Moon,Alone in Paradise,Japan,2017,power metal
M039,Lords of Black,Merciless,Spain,2016,heavy metal
M040,WarCry,Huelo el Miedo,Spain,2011,power metal
M041,Firewind,World on Fire,Greece,2010,power metal
M042,Warrior Path,The Mad King,Greece,2021,heavy metal
M043,The Silent Rage,The Deadliest Scourge,Greece,2016,power metal
M044,Myrath,Believer,Tunisia,2016,power metal
M045,Carthagods,The Devil's Doll,Tunisia,2015,heavy metal
M046,Orphaned Land,Like Orpheus,Israel,2018,heavy metal
M047,The HU,Wolf Totem,Mongolia,2018,heavy metal
M048,Against Evil,The Sound of Violence,India,2021,heavy metal
M049,Kryptos,Full Throttle,India,2019,heavy metal
M050,LORD,United,Australia,2019,power metal
M051,Black Majesty,Children of the Abyss,Australia,2018,power metal
M052,Elm Street,Heart Racer,Australia,2016,heavy metal
M053,Striker,Born to Lose,Canada,2018,heavy metal
M054,Skull Fist,Better Late Than Never,Canada,2018,heavy metal
M055,Traveler,Starbreaker,Canada,2019,heavy metal
M056,Jorn,Life on Death Road,Norway,2017,heavy metal
M057,Communic,The Bottom Deep,Norway,2011,heavy metal
M058,Volbeat,The Devil's Bleeding Crown,Denmark,2016,heavy metal
M059,Iron Fire,Among the Dead,Denmark,2016,power metal
M060,Pyramaze,Disciples of the Sun,Denmark,2015,power metal
M061,Iron Mask,Tree of the World,Belgium,2020,power metal
M062,Fireforce,Combat Metal,Belgium,2014,heavy metal
M063,Existance,Heavy Metal Fury,France,2016,heavy metal
M064,Sortilège,Messager - 2021,France,2021,heavy metal
M065,Attick Demons,City of Golden Gates,Portugal,2016,heavy metal
M066,Trooper,Destin,Romania,2013,heavy metal
M067,Pentagram,Geçmişin Yükü,Turkey,2012,heavy metal
M068,Aria,Точка невозврата,Russia,2014,heavy metal,Ария
M069,Epidemia,Выбор есть!,Russia,2018,power metal,Эпидемия
M070,Sunrise,Tower of Fear,Ukraine,2016,power metal
M071,Agora,En la Nada,Mexico,2011,heavy metal
M072,Helker,Fight,Argentina,2013,heavy metal
M073,Deadline,Bloodbeast,South Africa,2022,heavy metal
M074,Skinflint,Flesh Potion,Botswana,2022,heavy metal
M075,Arka'n Asrafokor,Awala,Togo,2019,heavy metal,ARKA'N
M076,Emerald,Digital Slavery,Switzerland,2012,heavy metal
M077,Dragony,If It Bleeds We Can Kill It,Austria,2017,power metal
M079,Power Paladin,Kraven the Hunter,Iceland,2022,power metal
M080,Arrayan Path,Stigmata,Cyprus,2018,power metal
M081,Eagleheart,Reverse,Czech Republic,2017,power metal
M082,Within Silence,Children of Light,Slovakia,2015,power metal
M083,Wisdom,Ravens' Night,Hungary,2016,power metal
M084,Exlibris,Hellphoria,Poland,2013,power metal
