candidate_id,artist,primary_artist_id,primary_artist_url,artist_monthly_listeners,captured_at_utc,source,fetch_error
M001,Metallica,2ye2Wgw4gimLv2eAKyk1NB,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,32848505,2026-06-29T19:38:38+00:00,Spotify public artist page,
M002,Avenged Sevenfold,0nmQIMXWTXfhgOBdNzhGOs,https://open.spotify.com/artist/0nmQIMXWTXfhgOBdNzhGOs,11810982,2026-06-29T19:38:38+00:00,Spotify public artist page,
M003,Five Finger Death Punch,5t28BP42x2axFnqOOMg3CM,https://open.spotify.com/artist/5t28BP42x2axFnqOOMg3CM,6720260,2026-06-29T19:38:38+00:00,Spotify public artist page,
M004,Kamelot,7gTbq5nTZGQIUgjEGXQpOS,https://open.spotify.com/artist/7gTbq5nTZGQIUgjEGXQpOS,304493,2026-06-29T19:38:38+00:00,Spotify public artist page,
M005,Symphony X,4MnZkh4dpNmTMPxkl4Ev5L,https://open.spotify.com/artist/4MnZkh4dpNmTMPxkl4Ev5L,204568,2026-06-29T19:38:38+00:00,Spotify public artist page,
M006,Visigoth,36Fw8K3uH9kPWEkZilzk86,https://open.spotify.com/artist/36Fw8K3uH9kPWEkZilzk86,24956,2026-06-29T19:38:38+00:00,Spotify public artist page,
M007,Eternal Champion,29xyQODvISPKNLgvvPqsA9,https://open.spotify.com/artist/29xyQODvISPKNLgvvPqsA9,20441,2026-06-29T19:38:38+00:00,Spotify public artist page,
M008,Powerwolf,5HFkc3t0HYETL4JeEbDB1v,https://open.spotify.com/artist/5HFkc3t0HYETL4JeEbDB1v,1150159,2026-06-29T19:38:38+00:00,Spotify public artist page,
M009,Blind Guardian,7jxJ25p0pPjk0MStloN6o6,https://open.spotify.com/artist/7jxJ25p0pPjk0MStloN6o6,589662,2026-06-29T19:38:38+00:00,Spotify public artist page,
M010,Helloween,4pQN0GB0fNEEOfQCaWotsY,https://open.spotify.com/artist/4pQN0GB0fNEEOfQCaWotsY,1442999,2026-06-29T19:38:38+00:00,Spotify public artist page,
M011,Accept,3JDIAtVrJdQ7GFOX26LYpv,https://open.spotify.com/artist/3JDIAtVrJdQ7GFOX26LYpv,1213609,2026-06-29T19:38:38+00:00,Spotify public artist page,
M012,Orden Ogan,3t5X2CVDf5mrlIx1SdvWYM,https://open.spotify.com/artist/3t5X2CVDf5mrlIx1SdvWYM,260052,2026-06-29T19:38:38+00:00,Spotify public artist page,
M013,Primal Fear,1yfiDL3YUEJlQCgb5Pun6g,https://open.spotify.com/artist/1yfiDL3YUEJlQCgb5Pun6g,116723,2026-06-29T19:38:38+00:00,Spotify public artist page,
M014,Grave Digger,6mfghV4I1CD17FOhDKq7cJ,https://open.spotify.com/artist/6mfghV4I1CD17FOhDKq7cJ,76191,2026-06-29T19:38:38+00:00,Spotify public artist page,
M015,Iron Maiden,6mdiAmATAx73kdxrNrnlao,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,9421915,2026-06-29T19:38:38+00:00,Spotify public artist page,
M016,Judas Priest,2tRsMl4eGxwoNabM08Dm4I,https://open.spotify.com/artist/2tRsMl4eGxwoNabM08Dm4I,4300621,2026-06-29T19:38:38+00:00,Spotify public artist page,
M017,Saxon,71vVmHeNgCVSa5SVmfvscU,https://open.spotify.com/artist/71vVmHeNgCVSa5SVmfvscU,472829,2026-06-29T19:38:38+00:00,Spotify public artist page,
M018,DragonForce,2pH3wEn4eYlMMIIQyKPbVR,https://open.spotify.com/artist/2pH3wEn4eYlMMIIQyKPbVR,1856073,2026-06-29T19:38:38+00:00,Spotify public artist page,
M019,Sabaton,3o2dn2O0FCVsWDFSh8qxgG,https://open.spotify.com/artist/3o2dn2O0FCVsWDFSh8qxgG,3239085,2026-06-29T19:38:38+00:00,Spotify public artist page,
M020,HammerFall,2o18h28enlHxj887tATc58,https://open.spotify.com/artist/2o18h28enlHxj887tATc58,889206,2026-06-29T19:38:38+00:00,Spotify public artist page,
M021,Bloodbound,6nf7iwR6AoROxfUKZWd1r6,https://open.spotify.com/artist/6nf7iwR6AoROxfUKZWd1r6,286310,2026-06-29T19:38:38+00:00,Spotify public artist page,
M022,Dynazty,5deRBvKxJssHVa9n6B7tWV,https://open.spotify.com/artist/5deRBvKxJssHVa9n6B7tWV,587543,2026-06-29T19:38:38+00:00,Spotify public artist page,
M023,Civil War,6lGzC0JJCotCU9QZ2Lgi8T,https://open.spotify.com/artist/6lGzC0JJCotCU9QZ2Lgi8T,68031,2026-06-29T19:38:38+00:00,Spotify public artist page,
M024,Brothers of Metal,0WPCPYm5IDNtQjuJOGNPcy,https://open.spotify.com/artist/0WPCPYm5IDNtQjuJOGNPcy,858033,2026-06-29T19:38:38+00:00,Spotify public artist page,
M025,Beast in Black,0rEuaTPLMhlViNCJrg3NEH,https://open.spotify.com/artist/0rEuaTPLMhlViNCJrg3NEH,1271062,2026-06-29T19:38:38+00:00,Spotify public artist page,
M026,Stratovarius,1O8CSXsPwEqxcoBE360PPO,https://open.spotify.com/artist/1O8CSXsPwEqxcoBE360PPO,848393,2026-06-29T19:38:38+00:00,Spotify public artist page,
M027,Sonata Arctica,5YeoQ1L71cXDMpSpqxOjfH,https://open.spotify.com/artist/5YeoQ1L71cXDMpSpqxOjfH,457896,2026-06-29T19:38:38+00:00,Spotify public artist page,
M028,Turisas,0ykT1si9XRFPmEvWOnf4YI,https://open.spotify.com/artist/0ykT1si9XRFPmEvWOnf4YI,250996,2026-06-29T19:38:38+00:00,Spotify public artist page,
M029,Rhapsody of Fire,3IjLXN4eSksdGj8uDE4Jm1,https://open.spotify.com/artist/3IjLXN4eSksdGj8uDE4Jm1,243186,2026-06-29T19:38:38+00:00,Spotify public artist page,
M030,Wind Rose,67ps5pbKVO7V9Fcb4lTIXz,https://open.spotify.com/artist/67ps5pbKVO7V9Fcb4lTIXz,723787,2026-06-29T19:38:38+00:00,Spotify public artist page,
M031,Trick or Treat,2mj5rXb8mYaRoF7oOHfgqI,https://open.spotify.com/artist/2mj5rXb8mYaRoF7oOHfgqI,9454,2026-06-29T19:38:38+00:00,Spotify public artist page,
M032,Vision Divine,5L6lO4X5v3GJpTkBg1BdW2,https://open.spotify.com/artist/5L6lO4X5v3GJpTkBg1BdW2,25610,2026-06-29T19:38:38+00:00,Spotify public artist page,
M033,Angra,7IAXZaLTb6nkJr8RmVPn5y,https://open.spotify.com/artist/7IAXZaLTb6nkJr8RmVPn5y,613185,2026-06-29T19:38:38+00:00,Spotify public artist page,
M034,Shaman,2THaGrUq7RPnj8Uax9zQ1m,https://open.spotify.com/artist/2THaGrUq7RPnj8Uax9zQ1m,193502,2026-06-29T19:38:38+00:00,Spotify public artist page,
M035,Armored Dawn,1oueQWyrcULGbpk0DyiqGf,https://open.spotify.com/artist/1oueQWyrcULGbpk0DyiqGf,4903,2026-06-29T19:38:38+00:00,Spotify public artist page,
M036,Galneryus,3BNDjSD67jJE4fhxX1b2OV,https://open.spotify.com/artist/3BNDjSD67jJE4fhxX1b2OV,348223,2026-06-29T19:38:38+00:00,Spotify public artist page,
M037,Anthem,67BObUWOkPPGftw3ITCHXH,https://open.spotify.com/artist/67BObUWOkPPGftw3ITCHXH,19104,2026-06-29T19:38:38+00:00,Spotify public artist page,
M038,Concerto Moon,06RLyuNu1DPwwvCxLvN476,https://open.spotify.com/artist/06RLyuNu1DPwwvCxLvN476,2218,2026-06-29T19:38:38+00:00,Spotify public artist page,
M039,Lords of Black,5PgEqen6HcezHZRU1PJO0Z,https://open.spotify.com/artist/5PgEqen6HcezHZRU1PJO0Z,7989,2026-06-29T19:38:38+00:00,Spotify public artist page,
M040,WarCry,3hMTlMf2UGZTeP6DSUUl09,https://open.spotify.com/artist/3hMTlMf2UGZTeP6DSUUl09,264901,2026-06-29T19:38:38+00:00,Spotify public artist page,
M041,Firewind,70I9vE7YTwKmelfEplXc5r,https://open.spotify.com/artist/70I9vE7YTwKmelfEplXc5r,107557,2026-06-29T19:38:38+00:00,Spotify public artist page,
