candidate_id,artist,title,country,expected_year,style,youtube_artist_name,spotify_track_id,primary_artist_id,primary_artist_url,spotify_url,spotify_title,spotify_artists,spotify_album,spotify_release_date,spotify_isrc,spotify_duration_ms,spotify_api_popularity,validation_status,validation_notes,artist_monthly_listeners,artist_monthly_listeners_captured_at,artist_monthly_listeners_source,artist_monthly_listeners_fetch_error,stream_count,captured_at,source_note,stream_count_censored,spotify_metric,spotify_metric_value,spotify_percentile,spotify_tier,spotify_log10_popularity,spotify_magnitude_tier,spotify_magnitude_cluster_center,spotify_magnitude_distance_to_center
M001,Metallica,Moth Into Flame,United States,2016,heavy metal,,3JjZq20Kv6UphyyirAaY9A,2ye2Wgw4gimLv2eAKyk1NB,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,https://open.spotify.com/track/3JjZq20Kv6UphyyirAaY9A,Moth Into Flame,Metallica,Hardwired…To Self-Destruct,2016-11-18,QMKHM1600380,350644,,OK,,32848505,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,32848505,99.40,High,7.516516,High,5.895970,1.620546
M002,Avenged Sevenfold,Hail to the King,United States,2013,heavy metal,,5anCkDvJ17aznvK5TED5uo,0nmQIMXWTXfhgOBdNzhGOs,https://open.spotify.com/artist/0nmQIMXWTXfhgOBdNzhGOs,https://open.spotify.com/track/5anCkDvJ17aznvK5TED5uo,Hail to the King,Avenged Sevenfold,Hail to the King,2013-08-20,USWB11302191,305906,,OK,,11810982,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,11810982,98.19,High,7.072286,High,5.895970,1.176316
M003,Five Finger Death Punch,Wrong Side of Heaven,United States,2013,heavy metal,,11Ojp7JniVvwd0gmgvyKkd,5t28BP42x2axFnqOOMg3CM,https://open.spotify.com/artist/5t28BP42x2axFnqOOMg3CM,https://open.spotify.com/track/11Ojp7JniVvwd0gmgvyKkd,Wrong Side of Heaven,Five Finger Death Punch,"The Wrong Side Of Heaven And The Righteous Side Of Hell, Volume 1",2013-07-26,US5Z51300299,271000,,OK,,6720260,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,6720260,95.78,High,6.827386,High,5.895970,0.931416
M004,Kamelot,Veil of Elysium,United States,2015,power metal,,0P4xr8nJqAGPL0zSkYPwWH,7gTbq5nTZGQIUgjEGXQpOS,https://open.spotify.com/artist/7gTbq5nTZGQIUgjEGXQpOS,https://open.spotify.com/track/0P4xr8nJqAGPL0zSkYPwWH,Veil of Elysium,Kamelot,Haven,2015-05-04,ATN261558804,234427,,OK,,304493,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,304493,71.69,Buffer,5.483579,High,5.895970,0.412391
M005,Symphony X,Nevermore,United States,2015,power metal,,2OmBhlNYNVUOvVQNVQ4l69,4MnZkh4dpNmTMPxkl4Ev5L,https://open.spotify.com/artist/4MnZkh4dpNmTMPxkl4Ev5L,https://open.spotify.com/track/2OmBhlNYNVUOvVQNVQ4l69,Nevermore,Symphony X,Underworld,2015-07-24,DED831500552,329999,,OK,,204568,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,204568,63.25,Buffer,5.310840,High,5.895970,0.585130
M006,Visigoth,Warrior Queen,United States,2015,heavy metal,,6bzEx9m1sOsY2WgAjPjcVX,36Fw8K3uH9kPWEkZilzk86,https://open.spotify.com/artist/36Fw8K3uH9kPWEkZilzk86,https://open.spotify.com/track/6bzEx9m1sOsY2WgAjPjcVX,Warrior Queen,Visigoth,Conqueror's Oath,2018-02-09,USMBR1812841,328751,,OK,,24956,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,24956,46.39,Middle,4.397192,Middle,4.092167,0.305026
M007,Eternal Champion,I Am the Hammer,United States,2016,heavy metal,,1bphIZnGESZjHnD5Lrg9cD,29xyQODvISPKNLgvvPqsA9,https://open.spotify.com/artist/29xyQODvISPKNLgvvPqsA9,https://open.spotify.com/track/1bphIZnGESZjHnD5Lrg9cD,I Am the Hammer,Eternal Champion,The Armor of Ire,2016-09-27,TCAHM2360309,314960,,OK,,20441,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,20441,45.18,Middle,4.310523,Middle,4.092167,0.218357
M008,Powerwolf,Army of the Night,Germany,2015,power metal,,6vQT1Y3MTGCpc31VIF5Ela,5HFkc3t0HYETL4JeEbDB1v,https://open.spotify.com/artist/5HFkc3t0HYETL4JeEbDB1v,https://open.spotify.com/track/6vQT1Y3MTGCpc31VIF5Ela,Army of the Night,Powerwolf,Blessed & Possessed,2015-07-17,ATN261558603,201386,,OK,,1150159,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,1150159,84.94,High,6.060758,High,5.895970,0.164788
M009,Blind Guardian,Twilight of the Gods,Germany,2015,power metal,,7LvIHenP3bZ7yp5NiXWJYF,7jxJ25p0pPjk0MStloN6o6,https://open.spotify.com/artist/7jxJ25p0pPjk0MStloN6o6,https://open.spotify.com/track/7LvIHenP3bZ7yp5NiXWJYF,Twilight of the Gods,Blind Guardian,Beyond the Red Mirror,2015-01-30,DED831401010,289399,,OK,,589662,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,589662,77.71,High,5.770604,High,5.895970,0.125366
M010,Helloween,Skyfall,Germany,2021,power metal,,5lsqw3b9RryGa7NrhvdrMi,4pQN0GB0fNEEOfQCaWotsY,https://open.spotify.com/artist/4pQN0GB0fNEEOfQCaWotsY,https://open.spotify.com/track/5lsqw3b9RryGa7NrhvdrMi,Skyfall,Helloween,Helloween,2021-06-18,DED832001268,731230,,OK,,1442999,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,1442999,88.55,High,6.159266,High,5.895970,0.263297
M011,Accept,Teutonic Terror,Germany,2010,heavy metal,,3crIa21lfjekujCQuGjlJT,3JDIAtVrJdQ7GFOX26LYpv,https://open.spotify.com/artist/3JDIAtVrJdQ7GFOX26LYpv,https://open.spotify.com/track/3crIa21lfjekujCQuGjlJT,Teutonic Terror,Accept,Blood of the Nations,2010-08-20,DED831000251,313586,,OK,,1213609,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,1213609,86.14,High,6.084079,High,5.895970,0.188109
M012,Orden Ogan,Gunman,Germany,2017,power metal,,3Mz5lXbMBK2tUmKAwAJwi1,3t5X2CVDf5mrlIx1SdvWYM,https://open.spotify.com/artist/3t5X2CVDf5mrlIx1SdvWYM,https://open.spotify.com/track/3Mz5lXbMBK2tUmKAwAJwi1,Gunman,Orden Ogan,Gunmen,2017-07-07,DEU601706950,317733,,OK,,260052,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,260052,66.87,Buffer,5.415062,High,5.895970,0.480908
