candidate_id,artist,title,spotify_track_id,primary_artist_id,primary_artist_url,spotify_url,spotify_isrc,stream_count,captured_at,source_note
M001,Metallica,Moth Into Flame,3JjZq20Kv6UphyyirAaY9A,2ye2Wgw4gimLv2eAKyk1NB,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,https://open.spotify.com/track/3JjZq20Kv6UphyyirAaY9A,QMKHM1600380,,,Spotify desktop album page
M002,Avenged Sevenfold,Hail to the King,5anCkDvJ17aznvK5TED5uo,0nmQIMXWTXfhgOBdNzhGOs,https://open.spotify.com/artist/0nmQIMXWTXfhgOBdNzhGOs,https://open.spotify.com/track/5anCkDvJ17aznvK5TED5uo,USWB11302191,,,Spotify desktop album page
M003,Five Finger Death Punch,Wrong Side of Heaven,11Ojp7JniVvwd0gmgvyKkd,5t28BP42x2axFnqOOMg3CM,https://open.spotify.com/artist/5t28BP42x2axFnqOOMg3CM,https://open.spotify.com/track/11Ojp7JniVvwd0gmgvyKkd,US5Z51300299,,,Spotify desktop album page
M004,Kamelot,Veil of Elysium,0P4xr8nJqAGPL0zSkYPwWH,7gTbq5nTZGQIUgjEGXQpOS,https://open.spotify.com/artist/7gTbq5nTZGQIUgjEGXQpOS,https://open.spotify.com/track/0P4xr8nJqAGPL0zSkYPwWH,ATN261558804,,,Spotify desktop album page
M005,Symphony X,Nevermore,2OmBhlNYNVUOvVQNVQ4l69,4MnZkh4dpNmTMPxkl4Ev5L,https://open.spotify.com/artist/4MnZkh4dpNmTMPxkl4Ev5L,https://open.spotify.com/track/2OmBhlNYNVUOvVQNVQ4l69,DED831500552,,,Spotify desktop album page
M006,Visigoth,Warrior Queen,6bzEx9m1sOsY2WgAjPjcVX,36Fw8K3uH9kPWEkZilzk86,https://open.spotify.com/artist/36Fw8K3uH9kPWEkZilzk86,https://open.spotify.com/track/6bzEx9m1sOsY2WgAjPjcVX,USMBR1812841,,,Spotify desktop album page
M007,Eternal Champion,I Am the Hammer,1bphIZnGESZjHnD5Lrg9cD,29xyQODvISPKNLgvvPqsA9,https://open.spotify.com/artist/29xyQODvISPKNLgvvPqsA9,https://open.spotify.com/track/1bphIZnGESZjHnD5Lrg9cD,TCAHM2360309,,,Spotify desktop album page
M008,Powerwolf,Army of the Night,6vQT1Y3MTGCpc31VIF5Ela,5HFkc3t0HYETL4JeEbDB1v,https://open.spotify.com/artist/5HFkc3t0HYETL4JeEbDB1v,https://open.spotify.com/track/6vQT1Y3MTGCpc31VIF5Ela,ATN261558603,,,Spotify desktop album page
M009,Blind Guardian,Twilight of the Gods,7LvIHenP3bZ7yp5NiXWJYF,7jxJ25p0pPjk0MStloN6o6,https://open.spotify.com/artist/7jxJ25p0pPjk0MStloN6o6,https://open.spotify.com/track/7LvIHenP3bZ7yp5NiXWJYF,DED831401010,,,Spotify desktop album page
M010,Helloween,Skyfall,5lsqw3b9RryGa7NrhvdrMi,4pQN0GB0fNEEOfQCaWotsY,https://open.spotify.com/artist/4pQN0GB0fNEEOfQCaWotsY,https://open.spotify.com/track/5lsqw3b9RryGa7NrhvdrMi,DED832001268,,,Spotify desktop album page
